	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Frank Mir	+165	+169	+161	+145	+169	+155	+155	+155	+140	+165	+135	+155		31 
Todd Duffee	-190	-201	-190	-175	-186	-190	-190	-172	-180	-190	-175	-180		31 
Josh Thomson	+230	+230	+235	+215	+236	+217	+210	+230	+220	+190	+225	+250		22 
Tony Ferguson	-270	-280	-285	-275	-264	-280	-280	-259	-300	-270	-320	-300		22 
Holly Holm	-255	-250	-250	-250	-249	-240	-260	-235	-240	-245	-230	-235		21 
Marion Reneau	+215	+210	+210	+195	+221	+195	+200	+210	+180	+205	+170	+200		21 
Manny Gamburyan	-200	-190	-190	-200	-196	-165	-210	-194	-190	-190	-175	-195		21 
Scott Jorgensen	+170	+161	+161	+160	+174	+135	+165	+174	+150	+165	+135	+170		21 
James Moontasri	+270	+280	+280	+255	+279	+235	+250	+281	+220	+220	+215	+235		21 
Kevin Lee	-330	-340	-340	-335	-321	-300	-350	-320	-300	-300	-300	-275		21 
Alan Jouban	-500	-600	-550	-650	-485	-500	-600	-625	-590	-550	-585	-525		21 
Matt Dwyer	+400	+420	+430	+425	+415	+375	+400	+425	+390	+425	+370	+410		21 
Sam Sicilia	-265	-260	-260	-275	-259	-225	-280	-259	-270	-235	-220	-270		21 
Yaotzin Meza	+225	+215	+215	+215	+231	+180	+210	+230	+195	+195	+160	+230		21 
Jessica Andrade	-500	-430	-460	-650	-485	-450	-650	-625	-470	-500	-400	-550		21 
Sarah Moras	+400	+345	+365	+425	+415	+325	+425	+425	+320	+400	+270	+420		21 
Masanori Kanehara	-135	-120	-143	-130	-132	-135	-130	-127	-120	-125	-130	-135		22 
Rani Yahya	+115	+100	+123	+100	+118	+105	+100	+115	-110	+105	-102	+115		22 
Igor Araujo	+375	+365	+365	+350	+389	+375	+350	+385	+310	+350	+270	+350		21 
Sean Strickland	-470	-460	-460	-500	-456	-500	-500	-450	-450	-440	-400	-450		21 
Ildemar Alcantara	-140	-135	-135	-145	-137	-130	-140	-133	-130	-135	-115	-140		22 
Kevin Casey	+120	+115	+115	+115	+123	+100	+110	+120	+100	+115	-115	+120		22 
Andrew Craig	+230	+225	+225	+220	+236	+220	+210	+230	+210	+195	+200	+210		21 
Lyman Good	-270	-270	-270	-280	-264	-285	-280	-259	-290	-275	-275	-250		21 
