	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Benson Henderson	-230	-225	-225	-210	-224	-250	-220	-201	-280	-230	-275	-200		32 
Jorge Masvidal	+190	+190	+190	+170	+196	+200	+175	+180	+205	+190	+200	+170		32 
Dominic Waters	+550	+535	+535	+525	+587	+525	+525	+525	+500	+500	+455	+575		22 
Dong Kim	-800	-800	-800	-850	-763	-800	-850	-825	-800	-800	-800	-800		22 
Alberto Mina	+125	+125	+125	+120	+128	+135	+120	+128	+125	+140	+130	+129		22 
Yoshihiro Akiyama	-145	-145	-145	-150	-142	-165	-150	-141	-160	-160	-170	-149		22 
Doo Choi	-250	-250	-250	-275	-244	-250	-280	-247	-265	-240	-260	-260		22 
Sam Sicilia	+210	+210	+210	+215	+216	+200	+210	+220	+190	+200	+185	+220		22 
Dongi Yang	+105	+105	+105	-105	+108	+105	+100	+105	+105	+110	+105	+105		22 
Jake Collier	-125	-125	-125	-125	-122	-135	-130	-116	-135	-130	-135	-125		22 
Mike De La Torre	-105	-105	-105	-105	-102	-110	+100	+100	-105	-110	-115	+100		22 
Yui Chul Nam	-115	-115	-115	-125	-112	-120	-130	-110	-125	-110	-115	-120		22 
Leo Kuntz	-330	-335	-335	-305	-321	-290	-310	-301	-475	-400	-400	-280		23 
Tae Hyun Bang	+270	+265	+265	+235	+279	+225	+230	+265	+325	+325	+270	+240		23 
Cortney Casey	-140	-150	-150	-145	-137	-145	-150	-133	-160	-150	-160	-140		23 
Seo Hee Ham	+120	+130	+130	+115	+123	+115	+120	+120	+125	+130	+125	+120		23 
Fredy Serrano	-155	-170	-170	-165	-152	-165	-170	-155	-175	-160	-210	-152		22 
Yao Zhikui	+135	+145	+145	+135	+138	+135	+140	+140	+135	+140	+155	+132		22 
Marco Beltran	+140	+135	+135	+125	+143	+135	+130	+135	+145	+155	+140	+122		22 
Ning Guangyou	-160	-160	-160	-155	-157	-165	-160	-149	-185	-175	-185	-142		22 
Dominique Steele	-130	-135	-135	-135	-127	-140	-145	-130	-130	-130		-130		22 
Dong Hyun Kim	+110	+115	+115	+105	+113	+110	+115	+118	+100	+110		+110		22 
Event props														48 
