	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Alexander Gustafsson	+215	+234	+230	+230	+221	+207	+220	+251	+190	+220	+155	+244		36 
Daniel Cormier	-255	-315	-280	-300	-249	-260	-300	-284	-260	-260	-207	-284		36 
Rashad Evans	-135	-140	-140	-145	-132	-135	-145	-135	-140	-140	-155	-142		26 
Ryan Bader	+115	+120	+120	+115	+118	+105	+115	+122	+110	+120	+120	+122		26 
Jessica Eye	+220	+215	+215	+210	+226	+185	+200	+224	+185	+205	+180	+215		26 
Julianna Pena	-260	-260	-260	-270	-254	-230	-260	-252	-250	-245	-250	-255		26 
Ruslan Magomedov	-190	-200	-200	-190	-186	-210	-200	-183	-190	-190	-200	-190		26 
Shawn Jordan	+165	+170	+170	+155	+169	+170	+160	+165	+150	+165	+150	+165		26 
Ali Bagautinov	+280	+285	+275	+270	+289	+280	+250	+289	+245	+260	+270	+295		26 
Joseph Benavidez	-340	-350	-335	-360	-331	-360	-350	-330	-340	-340	-400	-360		26 
Daniel Hooker	+230	+225	+225	+225	+236	+220	+220	+236	+245	+190	+235	+225		26 
Yair Rodriguez	-270	-270	-270	-285	-264	-285	-300	-266	-340	-270	-330	-265		26 
Alan Jouban	+220	+230	+230	+220	+226	+195	+210	+226	+210	+190	+200	+230		26 
Albert Tumenov	-260	-275	-275	-280	-254	-240	-280	-254	-290	-270	-275	-270		26 
Angela Hill	+245	+211	+211	+220	+241	+207	+190	+235	+185	+210	+175	+230		26 
Rose Namajunas	-265	-252	-252	-280	-269	-260	-240	-265	-250	-250	-240	-270		26 
Adriano Martins	+110	+110	+110	+115	+113	+110	+105	+120	+120	+110	+115	+105		26 
Islam Makhachev	-130	-130	-130	-145	-127	-140	-135	-133	-150	-130	-150	-125		26 
Chris Cariaso	+170	+175	+175	+165	+174	+155	+165	+175	+165	+170	+150	+170		26 
Sergio Pettis	-200	-205	-205	-205	-196	-190	-210	-195	-220	-200	-200	-200		26 
Derrick Lewis	+150	+150	+150	+150	+153	+155	+145	+150	+135	+140	+135	+145		26 
Viktor Pesta	-170	-175	-175	-185	-167	-190	-175	-166	-175	-160	-180	-170		26 
Francisco Trevino	+375	+379	+379	+350	+389	+315	+325	+375	+315	+345	+300	+350		26 
Sage Northcutt	-470	-478	-478	-500	-456	-425	-450	-437	-460	-420	-450	-450		26 
