	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Dan Henderson	+160	+167	+167	+150	+164	+145	+160	+158	+150	+165	+155	+175		31 
Tim Boetsch	-185	-197	-197	-185	-181	-175	-200	-175	-190	-190	-210	-205		31 
Ben Rothwell	+145	+143	+143	+135	+148	+140	+140	+140	+155	+145	+150	+150		21 
Matt Mitrione	-165	-168	-168	-165	-162	-170	-170	-155	-205	-165	-200	-175		21 
Dustin Poirier	-250	-250	-255	-260	-254	-330	-260	-235	-280	-250	-260	-255		21 
Yancy Medeiros	+230	+210	+210	+200	+226	+250	+200	+210	+205	+210	+185	+215		21 
Brian Ortega	+125	+125	+125	+125	+128	+110	+120	+132	+110	+125	+125	+125		21 
Thiago Tavares	-145	-145	-145	-155	-142	-140	-150	-146	-140	-145	-165	-145		21 
Anthony Birchak	+170	+160	+166	+160	+174	+170	+155	+182	+155	+155	+135	+175		21 
Joe Soto	-200	-185	-195	-200	-196	-210	-190	-203	-195	-175	-180	-205		21 
Alex Caceres	+125	+120	+121	+115	+123	+115	+110	+121	+120	+120	+110	+115		22 
Francisco Rivera	-135	-140	-141	-145	-137	-145	-140	-134	-150	-140	-145	-135		22 
Derrick Lewis	-105	-103	-103	-105	-102	-105	-105	-105	-105	-105	-105	-103		21 
Shawn Jordan	-115	-117	-117	-125	-112	-125	-125	-105	-125	-115	-125	-117		21 
Brian Ebersole	+115	+114	+114	+110	+118	-110	+110	+122	+115	+115	+110	+120		21 
Omari Akhmedov	-135	-134	-134	-140	-132	-120	-140	-135	-145	-135	-140	-140		21 
Chris Wade	-170	-170	-175	-185	-167	-190	-170	-173	-190	-170	-180	-175		21 
Christos Giagos	+150	+145	+150	+150	+153	+155	+140	+156	+150	+150	+135	+150		21 
Joe Proctor	-210	-205	-205	-205	-205	-220	-210	-200	-235	-215	-220	-205		21 
Justin Edwards	+175	+175	+175	+165	+180	+177	+165	+180	+175	+180	+160	+175		21 
Jake Collier	+155	+150	+150	+155	+158	+155	+155	+160	+135	+165	+150	+170		21 
Ricardo Abreu	-175	-175	-175	-190	-172	-190	-190	-178	-175	-190	-200	-200		21 
Jose Quinonez	+150	+150	+145	+150	+153	+145	+145	+154	+135	+160	+145	+150		21 
Leonardo Morales	-170	-175	-170	-185	-167	-175	-175	-171	-175	-185	-195	-175		21 
