	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Kelvin Gastelum	-330	-334	-334	-360	-321	-320	-350	-313	-315	-330	-400	-330		32 
Neil Magny	+270	+274	+274	+270	+279	+240	+250	+275	+230	+250	+270	+270		32 
Diego Sanchez	+350	+365	+350	+300	+363	+315	+350	+385	+300	+350	+325	+350		22 
Ricardo Lamas	-440	-550	-450	-400	-427	-425	-500	-450	-435	-440	-500	-450		22 
Henry Cejudo	-550	-565	-565	-550	-531	-550	-600	-515	-560	-550	-550	-500		22 
Jussier Formiga	+425	+435	+435	+375	+444	+400	+400	+435	+375	+425	+350	+385		22 
Enrique Marin	-230	-226	-226	-240	-224	-200	-220	-218	-210	-220	-207	-210		22 
Erick Montano	+190	+189	+189	+190	+196	+165	+175	+195	+160	+180	+155	+180		22 
Enrique Barzola	+175	+160	+160	+175	+180	+155	+160	+175	+150	+160	+140	+170		22 
Horacio Gutierrez	-210	-200	-200	-225	-205	-190	-200	-195	-190	-185	-185	-200		22 
Efrain Escudero	+130	+130	+130	+130	+133	+125	+125	+130	+125	+130	+115	+128		22 
Leandro Silva	-150	-150	-150	-160	-147	-155	-155	-144	-160	-150	-150	-148		22 
Erik Perez	-150	-140	-140	-160	-147	-140	-155	-150	-135	-140	-145	-140		23 
Taylor Lapilus	+130	+120	+120	+130	+133	+110	+125	+136	+105	+120	+110	+120		23 
Bartosz Fabinski	-175	-180	-191	-190	-172	-215	-190	-179	-230	-170	-220	-180		22 
Hector Urbina	+155	+155	+163	+155	+158	+175	+155	+161	+170	+150	+160	+155		22 
Alejandro Perez	+115	+120	+120	+110	+118	+110	+115	+118	+100	+115	+105	+110		21 
Scott Jorgensen	-135	-140	-140	-140	-132	-140	-145	-130	-130	-135	-135	-130		21 
Andre Fili	-230	-220	-220	-235	-224	-230	-220	-219	-240	-220	-220	-214		21 
Gabriel Benitez	+190	+185	+185	+185	+196	+185	+175	+196	+180	+185	+160	+184		21 
Alvaro Herrera	+150	+140	+140	+150	+153	+140	+145	+153	+135	+145	+130	+145		21 
Vernon Ramos	-170	-165	-165	-185	-167	-170	-175	-170	-175	-165	-170	-170		21 
Cesar Arzamendia	-190	-180	-180	-200	-186	-185	-200	-189	-195	-185	-185	-185		22 
Polo Reyes	+165	+155	+155	+160	+169	+150	+160	+170	+155	+160	+140	+160		22 
Michel Prazeres	-135	-135	-135	-145	-132	-135	-140	-137	-140	-130	-120	-140		22 
Valmir Lazaro	+115	+115	+115	+115	+118	+105	+110	+124	+110	+110	-110	+120		22 
