	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Demetrious DJohnson	-560	-725	-575	-550	-541	-475	-600	-515	-700	-600	-600	-560		36 
John Dodson	+430	+450	+435	+375	+449	+350	+400	+435	+450	+450	+370	+430		36 
Andrei Arlovski	-155	-156	-156	-165	-152	-145	-160	-153	-180	-155	-175	-155		26 
Frank Mir	+135	+131	+131	+135	+138	+115	+130	+138	+140	+135	+135	+135		26 
Anthony Johnson	-750	-850	-675	-750	-716	-600	-700	-675	-800	-750	-700	-675		26 
Jimi Manuwa	+525	+515	+465	+475	+559	+425	+450	+475	+500	+450	+415	+500		26 
Corey Anderson	-115	-117	-117	-120	-112	-125	-115	-105	-110	-115	-102	-108		26 
Jan Blachowicz	-105	-103	-103	-110	-102	-105	-115	-105	-120	-105	-130	-112		26 
Alex Chambers	+1000	+700	+700	+800	+1075	+725	+850	+1000	+1000	+700	+900	+900		27 
Paige VanZant	-1500	-1500	-1500	-1600	-1425	-1400	-1600	-1500	-1800	-1500	-1500	-1600		27 
Paul Felder	-440	-435	-435	-450	-427	-425	-450	-399	-580	-440	-450	-410		26 
Ross Pearson	+350	+345	+345	+325	+363	+315	+325	+345	+385	+350	+300	+340		26 
Francisco Rivera	+130	+131	+131	+120	+133	+130	+120	+131	+135	+135	+125	+125		26 
John Lineker	-150	-156	-156	-150	-147	-160	-150	-145	-175	-155	-165	-145		26 
Jessica Andrade	-170	-170	-169	-185	-167	-205	-170	-170	-190	-165	-180	-161		26 
Raquel Pennington	+150	+145	+144	+150	+153	+167	+140	+153	+150	+145	+135	+141		26 
Clay Collard	-145	-146	-145	-155	-142	-155	-150	-149	-160	-145	-150	-145		26 
Tiago Trator	+125	+125	+125	+125	+128	+125	+120	+135	+125	+125	+115	+125		26 
Joe Riggs	+195	+195	+195	+185	+201	+170	+180	+195	+190	+195	+180	+190		26 
Ron Stallings	-235	-230	-230	-235	-229	-210	-230	-218	-260	-235	-250	-225		26 
Joaquim Silva	+105	+106	+106	+100	+108	+100	+100	+108	+125	+105	+115	+100		26 
Nazareno Malegarie	-125	-126	-126	-130	-122	-130	-130	-119	-160	-125	-150	-120		26 
