	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Cat Zingano	+540	+585	+540	+425	+530	+450	+500	+565	+400	+500	+525	+525		40 
Ronda Rousey	-660	-1150	-765	-650	-670	-650	-800	-694	-588	-800	-1000	-700		40 
Holly Holm	-550	-650	-525	-550	-531	-475	-600	-527	-667	-550	-700	-550		25 
Raquel Pennington	+425	+450	+405	+375	+444	+350	+400	+444	+425	+350	+415	+420		25 
Jake Ellenberger	-140	-146	-146	-170	-142	-175	-150	-147	-182	-165	-175	-155		25 
Josh Koscheck	+130	+126	+126	+140	+128	+145	+120	+133	+145	+135	+130	+135		25 
Alan Jouban	-250	-245	-245	-225	-254	-225	-260	-250	-250	-325	-240	-230		26 
Richard Walsh	+230	+205	+205	+175	+226	+180	+200	+222	+190	+245	+175	+195		26 
Gleison Tibau	+220	+195	+210	+195	+216	+210	+200	+210	+200	+190	+180	+200		25 
Tony Ferguson	-240	-235	-250	-250	-244	-265	-260	-235	-263	-250	-250	-235		25 
Mark Munoz	-260	-270	-270	-270	-264	-275	-280	-259	-294	-265	-300	-260		25 
Roan Carneiro	+240	+225	+225	+210	+236	+215	+210	+230	+220	+205	+215	+220		25 
Norifumi Yamamoto	-145	-148	-148	-140	-147	-140	-140	-164	-161	-165	-155	-150		25 
Roman Salazar	+135	+128	+128	+110	+133	+110	+110	+148	+120	+135	+120	+130		25 
Dhiego Lima	+150	+130	+131	+130	+148	+135	+130	+148	+125	+125	+125	+135		25 
Tim Means	-160	-150	-156	-160	-162	-165	-160	-164	-159	-155	-160	-155		25 
Derrick Lewis	-705	-675	-675	-600	-716	-700	-700	-650	-714	-550	-600	-700		25 
Ruan Potts	+570	+500	+465	+400	+559	+500	+450	+450	+435	+350	+370	+525		25 
James Krause	-200	-200	-200	-190	-205	-210	-210	-202	-196	-175	-210	-205		25 
Valmir Lazaro	+185	+170	+170	+155	+180	+170	+165	+181	+155	+145	+155	+175		25 
Alexander Torres	-115	-125	-125	-110	-117	-125	-135	-125	-110	+105	-110	-125		25 
Masio Fullen	+105	+105	+105	-120	+103	-105	+105	+113	-120	-135	-120	+105		25 
