	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Johny Hendricks	-290	-325	-333	-305	-283	-330	-320	-277	-275	-280	-275	-275		33 
Stephen Thompson	+245	+250	+264	+235	+252	+250	+240	+240	+200	+200	+200	+235		33 
Jared Rosholt	-105	-117	-109	-105	-102	+110	+100	+102	+115	+105	+115	+100		22 
Roy Nelson	-115	-103	-111	-125	-112	-140	-130	-115	-145	-125	-150	-120		22 
Ovince Preux	-420	-455	-430	-450	-407	-350	-400	-418	-380	-385	-350	-400		22 
Rafael Cavalcante	+335	+360	+345	+325	+348	+270	+300	+350	+265	+310	+245	+330		22 
Joseph Benavidez	-420	-407	-407	-400	-407	-380	-450	-379	-435	-420	-450	-400		22 
Zach Makovsky	+335	+323	+323	+300	+348	+290	+325	+320	+300	+345	+300	+330		22 
Alex Nicholson	+500	+550	+425	+475	+530	+425	+475	+500	+475	+450	+590	+525		22 
Misha Cirkunov	-700	-1200	-555	-750	-670	-600	-750	-700	-750	-700	-1200	-700		22 
Mike Pyle	+135	+125	+125	+140	+138	+115	+130	+150	+120	+130	+115	+135		22 
Sean Spencer	-155	-145	-145	-170	-152	-145	-160	-170	-150	-150	-150	-155		22 
Josh Burkman	-130	-133	-133	-135	-127	-125	-130	-129	-140	-130	-160	-135		22 
K.J. Noons	+110	+113	+113	+105	+113	-105	+100	+115	+110	+110	+125	+115		22 
Damian Grabowski	-115	-110	-110	-115	-112	-105	-115	-106	-110	-115	-115	-110		22 
Derrick Lewis	-105	-110	-110	-115	-102	-125	-115	-106	-120	-105	-115	-110		22 
Justin Scoggins	+160	+147	+155	+175	+164	+167	+160	+152	+165	+170	+175	+150		22 
Ray Borg	-185	-177	-183	-225	-181	-205	-200	-172	-220	-200	-240	-175		22 
Diego Rivas	+290	+260	+260	+275	+299	+235	+250	+270	+270	+250	+245	+285		22 
Noad Lahat	-350	-315	-315	-365	-341	-300	-350	-315	-385	-350	-350	-350		22 
Mickey Gall	-550	-550	-542	-550	-531	-450	-600	-535	-560	-550	-600	-540		22 
Mike Jackson	+425	+430	+421	+375	+444	+325	+400	+410	+375	+425	+370	+425		22 
Alex White	+115	+114	+115	+115	+118	+105	+110	+115	+110	+115	+110	+115		22 
Artem Lobov	-135	-134	-135	-145	-132	-135	-140	-129	-140	-135	-145	-135		22 
Event props														51 
