	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Demian Maia	-105	-105	-105	-105	-102	+105	-110	+104	-110	-115	-110	-105		33 
Ryan LaFlare	-115	-115	-115	-125	-112	-135	-120	-115	-125	-115	-120	-115		33 
Erick Silva	-460	-450	-450	-500	-446	-400	-500	-450	-588	-500	-500	-450		21 
Josh Koscheck	+365	+355	+345	+350	+379	+300	+350	+385	+350	+300	+325	+350		21 
Leonardo Santos	+140	+141	+141	+125	+143	+135	+130	+140	+145	+135	+120	+140		21 
Tony Martin	-160	-166	-166	-155	-157	-165	-160	-155	-208	-165	-155	-160		21 
Amanda Nunes	-750	-614	-614	-750	-716	-600	-750	-700	-1000	-650	-600	-660		21 
Shayna Baszler	+525	+443	+443	+475	+559	+425	+475	+500	+485	+450	+370	+485		21 
Alex Oliveira	+550	+517	+517	+500	+587	+550	+475	+550	+550	+450	+415	+550		21 
Gilbert Burns	-800	-735	-735	-800	-763	-800	-750	-750	-1250	-750	-700	-750		21 
Andre Fili	-325	-326	-326	-335	-316	-340	-350	-313	-435	-300	-320	-315		21 
Godofredo Pepey	+265	+269	+269	+255	+274	+260	+250	+275	+275	+220	+225	+265		21 
Akbarh Arreola	+170	+180	+180	+160	+174	+170	+160	+170	+160	+170	+155	+170		21 
Francisco Trinaldo	-200	-210	-210	-200	-196	-210	-200	-189	-205	-210	-210	-200		21 
Katsunori Kikuno	+215	+208	+208	+205	+221	+190	+200	+221	+222	+190	+180	+215		21 
Kevin Souza	-255	-251	-251	-265	-249	-235	-260	-248	-281	-250	-250	-255		21 
Drew Dober	+125	+129	+131	+125	+128	+135	+120	+125	+131	+130	+125	+123		22 
Leandro Silva	-145	-154	-156	-155	-142	-165	-150	-138	-164	-160	-165	-143		22 
Cain Carrizosa	+150	+155	+155	+150	+153	+150	+145	+153	+142	+130	+125	+146		21 
Leonardo Mafra	-170	-180	-180	-185	-167	-185	-175	-170	-175	-160	-160	-171		21 
Christos Giagos	-210	-200	-200	-200	-205	-185	-200	-189	-217	-200	-200	-190		22 
Jorge De Oliveira	+175	+170	+170	+160	+180	+150	+160	+170	+167	+160	+150	+165		22 
Bentley Syler	+135	+130	+130	+125	+138	+120	+125	+130	+128	+105	+110	+119		22 
Fredy Serrano	-155	-150	-150	-155	-152	-150	-155	-144	-153	-135	-145	-139		22 
