	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Johny Hendricks	-220	-225	-242	-240	-224	-240	-210	-224	-233	-215	-215	-225		35 
Robbie Lawler	+200	+190	+201	+190	+196	+195	+165	+200	+170	+175	+157	+190		35 
Anthony Pettis	-315	-500	-306	-310	-321	-300	-350	-301	-370	-340	-342	-305		35 
Gilbert Melendez	+285	+325	+254	+240	+279	+235	+250	+265	+245	+260	+240	+255		35 
Brendan Schaub	+400	+400	+355	+350	+389	+400	+325	+375	+280	+330	+270	+385		25 
Travis Browne	-450	-600	-450	-500	-456	-550	-450	-437	-455	-420	-400	-500		25 
Anthony Hamilton	+285	+300	+305	+290	+279	+300	+275	+285	+300	+260	+245	+295		25 
Todd Duffee	-315	-400	-370	-380	-321	-400	-375	-325	-526	-360	-350	-360		25 
Abel Trujillo	+295	+245	+245	+245	+289	+260	+245	+265	+225	+220	+185	+250		25 
Tony Ferguson	-325	-295	-295	-315	-331	-340	-325	-301	-345	-300	-260	-300		25 
Francisco Rivera	+725	+700	+600	+575	+702	+550	+600	+666	+485	+600	+455	+600		25 
Urijah Faber	-925	-1000	-1000	-950	-948	-800	-1000	-966	-1000	-900	-800	-900		25 
Eddie Gordon	-140	-147	-147	-155	-142	-150	-145	-145	-132	-145	-150	-145		25 
Josh Samman	+130	+126	+126	+125	+128	+120	+115	+131	+120	+115	+115	+125		25 
Corey Anderson	-500	-485	-485	-500	-509	-425	-500	-502	-556	-460	-400	-450		25 
Justin Jones	+435	+385	+385	+350	+431	+315	+350	+425	+325	+370	+270	+350		25 
Ashlee Evans-Smith	-190	-200	-200	-200	-196	-185	-220	-210	-244	-200	-200	-214		25 
Raquel Pennington	+175	+170	+170	+160	+174	+150	+175	+188	+170	+160	+150	+184		25 
Matt Hobar	+220	+195	+195	+185	+216	+207	+180	+210	+200	+200	+185	+185		25 
Sergio Pettis	-240	-235	-235	-235	-244	-260	-230	-235	-294	-260	-260	-215		25 
Alex White	+115	-108	-108	-110	+113	-105	-105	+113	-118	-110	-120	+105		25 
Clay Collard	-125	-112	-112	-120	-127	-125	-125	-125	-118	-120	-110	-125		25 
