	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Lyoto Machida	-165	-177	-173	-170	-162	-160	-170	-168	-185	-165	-210	-169		31 
Yoel Romero	+145	+152	+148	+140	+148	+130	+140	+152	+145	+145	+155	+149		31 
Lorenz Larkin	-170	-174	-174	-185	-167	-160	-180	-176	-210	-175	-210	-180		21 
Santiago Ponzinibbio	+150	+149	+149	+150	+153	+130	+150	+159	+160	+155	+155	+155		21 
Antonio Carlos Junior	-170	-173	-173	-170	-167	-170	-170	-167	-180	-170	-200	-170		21 
Eddie Gordon	+150	+148	+148	+140	+153	+140	+140	+151	+140	+150	+150	+145		21 
Steve Bosse	+155	+175	+160	+155	+158	+165	+150	+159	+145	+155	+160	+155		21 
Thiago Santos	-175	-205	-195	-190	-172	-200	-180	-176	-185	-175	-220	-180		21 
Hacran Dias	-145	-137	-139	-160	-142	-140	-150	-147	-165	-145	-180	-145		21 
Levan Makashvili	+125	+117	+119	+130	+128	+110	+120	+133	+130	+125	+135	+125		21 
Alex Oliveira	-425	-520	-429	-450	-412	-400	-450	-415	-475	-425	-450	-410		21 
Joe Merritt	+340	+400	+342	+325	+353	+300	+325	+358	+325	+340	+300	+340		21 
Leandro Silva	-190	-190	-190	-200	-186	-190	-190	-184	-220	-190	-200	-185		21 
Lewis Gonzalez	+165	+161	+160	+160	+169	+155	+155	+166	+165	+165	+150	+160		21 
Steve Montgomery	+100	-102	-102	-105	+103	-115	+100	+107	-105	+100	-110	+103		21 
Tony Sims	-120	-118	-118	-125	-117	-115	-130	-118	-125	-120	-120	-123		21 
Danny Martinez	-115	-120	-120	-125	-112	-115	-120	-121	-135	-115	-125	-111		21 
Sirwan Kakai	-105	+100	+100	-105	-102	-115	-110	+110	+105	-105	-105	-109		21 
