	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Glover Teixeira	+120	+115	+115	+105	+123	+100	+110	+125	+110	+115	+120	+120		33 
Ovince Preux	-140	-135	-135	-135	-137	-130	-140	-138	-140	-135	-155	-140		33 
Beneil Dariush	+120	+124	+124	+125	+123	+110	+110	+121	+130	+120	+125	+120		22 
Michael MJohnson	-140	-144	-144	-155	-137	-140	-140	-134	-165	-140	-160	-140		22 
Derek Brunson	-380	-405	-405	-400	-370	-370	-400	-362	-435	-380	-480	-400		22 
Sam Alvey	+315	+325	+325	+300	+325	+285	+300	+315	+300	+305	+315	+330		22 
Jared Rosholt	-245	-265	-257	-275	-239	-330	-280	-248	-295	-235	-280	-260		22 
Timothy TJohnson	+205	+220	+212	+215	+211	+250	+210	+221	+215	+195	+200	+220		22 
Chris Camozzi	-135	-130	-130	-130	-132	-160	-140	-130	-130	-135	-143	-135		22 
Tom Watson	+115	+110	+110	+100	+118	+130	+110	+118	+100	+115	+112	+115		22 
Geane Herrera	+350	+370	+365	+325	+363	+300	+325	+385	+325	+325	+335	+350		22 
Ray Borg	-440	-465	-465	-450	-427	-400	-450	-450	-475	-400	-525	-450		22 
Oluwale Bamgbose	+260	+290	+282	+265	+269	+315	+250	+265	+250	+260	+270	+275		22 
Uriah Hall	-320	-350	-346	-350	-311	-425	-350	-301	-360	-340	-400	-325		22 
Amanda Nunes	+220	+215	+213	+230	+226	+250	+220	+225	+200	+220	+210	+230		22 
Sara McMann	-260	-260	-270	-300	-254	-330	-300	-253	-275	-260	-290	-270		22 
Dustin Ortiz	-480	-475	-475	-450	-466	-400	-450	-465	-460	-450	-420	-425		23 
Willie Gates	+383	+380	+380	+325	+397	+300	+325	+397	+315	+360	+285	+355		23 
Frankie Saenz	+105	+102	+102	+105	+108	-110	+100	+108	+115	+115	-110	+118		23 
Sirwan Kakai	-125	-122	-122	-135	-122	-120	-130	-119	-145	-135	-120	-138		23 
Chris Dempsey	+105	+108	+108	+110	+108	+115	+105	+118	+110	+110	+115	+115		22 
Jonathan Wilson	-125	-128	-128	-140	-122	-145	-135	-130	-140	-130	-150	-135		22 
Marlon Vera	-125	-125	-122	-135	-122	-135	-130	-116	-135	-125	-130	-120		22 
Roman Salazar	+105	+106	+102	+105	+108	+105	+100	+105	+105	+105	+100	+100		22 
Anthony Christodoulou	+775	+800	+750	+600	+839	+625	+750	+800	+800	+750	+525	+775		22 
Scott Holtzman	-1200	-1200	-1200	-1000	-1136	-1000	-1200	-1200	-1400	-1200	-1000	-1200		22 
