	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Demetrious Johnson	-980	-1500	-809	-750	-929	-1000	-750	-800	-700	-950	-1000	-800		35 
Kyoji Horiguchi	+640	+700	+584	+475	+691	+650	+475	+638	+450	+625	+525	+575		35 
C.B. Dollaway	+125	+120	+120	+130	+128	+105	+125	+144	+125	+115	+115	+135		25 
Michael Bisping	-145	-140	-140	-160	-142	-135	-155	-160	-160	-145	-150	-155		25 
Fabio Maldonado	+150	+155	+152	+145	+153	+150	+140	+148	+130	+140	+150	+145		25 
Quinton Jackson	-170	-180	-177	-175	-167	-185	-170	-164	-170	-170	-200	-170		25 
John Makdessi	-110	-113	-115	-120	-107	-115	-110	+102	-110	-115	-120	-110		25 
Shane Campbell	-110	-107	-105	-110	-107	-115	-120	-113	-120	-115	-110	-110		25 
Thomas Almeida	-420	-385	-385	-450	-407	-450	-450	-400	-500	-400	-450	-400		25 
Yves Jabouin	+335	+315	+315	+325	+348	+325	+325	+346	+340	+310	+300	+330		25 
Joe Riggs	+220	+205	+205	+200	+226	+235	+200	+245	+190	+190	+175	+210		25 
Patrick Cote	-260	-245	-245	-260	-254	-300	-260	-277	-260	-240	-240	-250		25 
Alexis Davis	+178	+165	+165	+170	+183	+167	+165	+181	+160	+160	+155	+180		25 
Sarah Kaufman	-215	-194	-194	-210	-210	-205	-210	-202	-210	-200	-210	-210		25 
Bryan Barberena	+335	+325	+341	+325	+348	+315	+325	+346	+310	+330	+270	+330		25 
Chad Laprise	-420	-400	-426	-450	-407	-425	-450	-400	-450	-420	-400	-400		25 
David Michaud	+280	+262	+262	+270	+289	+235	+250	+289	+245	+260	+245	+270		25 
Olivier Aubin-Mercier	-340	-317	-317	-360	-331	-300	-350	-330	-340	-340	-350	-330		25 
Chris Clements	+175	+190	+190	+170	+180	+205	+175	+191	+175	+160	+176	+175		25 
Nordine Taleb	-210	-225	-225	-210	-205	-255	-220	-213	-235	-200	-238	-205		25 
Jessica Rakoczy	+105	-103	-103	+100	+108	-115	+100	+111	-125	-110	-105	+100		24 
Valerie Letourneau	-125	-117	-117	-130	-122	-115	-130	-123	-105	-120	-125	-120		24 
Aisling Daly	+235	+219	+219	+230	+241	+207	+220	+242	+220	+215	+200	+240		25 
Randa Markos	-275	-264	-264	-300	-269	-260	-300	-273	-300	-275	-280	-280		25 
