5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Anderson Silva	-275	-280	-270	-270	-269	-225	-260	-253	-240	-240	-220	-250		32 
Michael Bisping	+235	+225	+225	+210	+241	+180	+200	+220	+180	+200	+160	+210		32 
Gegard Mousasi	-300	-336	-336	-315	-293	-295	-350	-302	-360	-340	-350	-335		22 
Thales Leites	+250	+276	+276	+245	+257	+230	+250	+260	+250	+260	+245	+275		22 
Keita Nakamura	+750	+800	+750	+700	+812	+525	+600	+700	+750	+715	+570	+675		22 
Tom Breese	-1165	-1550	-1350	-1200	-1103	-800	-1000	-1121	-1300	-1165	-1150	-1000		22 
Brad Pickett	+135	+131	+131	+140	+138	+140	+135	+143	+130	+135	+125	+135		22 
Francisco Rivera	-155	-156	-156	-170	-152	-170	-165	-162	-165	-155	-160	-155		22 
Makwan Amirkhani	-185	-190	-190	-175	-181	-190	-200	-193	-210	-170	-180	-190		22 
Mike Wilkinson	+160	+161	+161	+145	+164	+155	+160	+170	+160	+150	+135	+165		22 
Davey Grant	-185	-175	-175	-190	-181	-175	-190	-176	-220	-185	-190	-180		22 
Marlon Vera	+160	+150	+150	+155	+164	+145	+155	+155	+165	+160	+145	+155		22 
Chris Dempsey	+300	+295	+295	+270	+309	+270	+250	+275	+300	+260	+245	+275		22 
Scott Askham	-360	-360	-360	-360	-351	-350	-350	-321	-435	-360	-350	-335		22 
Arnold Allen	-340	-318	-318	-360	-331	-320	-350	-334	-400	-350	-350	-340		22 
Yaotzin Meza	+280	+262	+262	+270	+289	+240	+250	+285	+280	+270	+245	+280		22 
Brad Scott	+135	+130	+130	+135	+138	+130	+125	+137	+140	+140	+125	+135		22 
Krzysztof Jotko	-155	-154	-154	-165	-152	-160	-155	-155	-180	-160	-165	-155		22 
Norman Parke	+170	+175	+175	+165	+174	+195	+160	+170	+165	+185	+180	+170		22 
Rustam Khabilov	-200	-205	-205	-205	-196	-240	-200	-193	-220	-220	-250	-200		22 
Daniel Omielanczuk	-110	-110	-110	-115	-107	-125	-120	-106	-130	-120	-130	-110		22 
Jarjis Danho	-110	-110	-110	-115	-107	-105	-110	-106	+100	+100	+100	-110		22 
Teemu Packalen	+100	-105	-105	-125	-102	+105	-110	+100	+100	+100	-110	-105		22 
Thibault Gouti	-110	-115	-115	-105	-112	-135	-120	-112	-130	-120	-120	-115		22 
David Teymur	-115	-120	-120	-120	-112	-140	-120	-106	-190	-120	-145	-110		22 
Martin Svensson	-105	+100	+100	-110	-102	+110	-110	-106	+150	+100	+110	-110		22 
Event props														54 
