	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Chad Mendes	+165	+156	+156	+170	+169	+170	+160	+158	+140	+165	+145	+150		35 
Conor McGregor	-190	-190	-187	-210	-186	-210	-200	-175	-180	-190	-195	-175		35 
Robbie Lawler	+145	+153	+145	+130	+148	+130	+130	+140	+140	+140	+145	+135		35 
Rory MacDonald	-165	-185	-175	-160	-162	-160	-160	-155	-180	-160	-195	-155		35 
Dennis Bermudez	-245	-250	-250	-250	-239	-245	-240	-237	-260	-240	-240	-240		25 
Jeremy Stephens	+205	+210	+210	+195	+211	+197	+190	+211	+190	+200	+170	+205		25 
Brandon Thatch	-170	-165	-165	-155	-167	-170	-175	-166	-165	-150	-180	-175		25 
Gunnar Nelson	+150	+140	+140	+125	+153	+140	+145	+150	+130	+130	+135	+150		25 
Brad Pickett	+500	+625	+525	+450	+530	+450	+500	+450	+550	+450	+515	+525		25 
Thomas Almeida	-700	-1200	-1000	-700	-670	-650	-800	-650	-900	-700	-970	-700		25 
Matt Brown	-150	-150	-142	-170	-147	-150	-155	-149	-180	-140	-175	-152		25 
Tim Means	+130	+130	+122	+140	+133	+120	+125	+135	+140	+120	+135	+132		25 
Cathal Pendred	-135	-142	-142	-145	-132	-140	-140	-135	-140	-135	-145	-130		25 
John Howard	+115	+122	+122	+115	+118	+110	+110	+122	+110	+115	+110	+110		25 
Alex Garcia	-470	-471	-485	-500	-456	-450	-550	-450	-525	-500	-550	-500		25 
Mike Swick	+375	+369	+385	+350	+389	+325	+375	+385	+350	+375	+350	+385		25 
Cody Garbrandt	-1000	-1262	-1250	-1000	-948	-1200	-1000	-975	-1100	-1000	-780	-1000		25 
Henry Briones	+650	+654	+650	+600	+702	+675	+600	+675	+650	+650	+440	+675		25 
Louis Smolka	-135	-130	-130	-140	-132	-135	-140	-130	-140	-140	-130	-135		25 
Neil Seery	+115	+110	+110	+110	+118	+105	+110	+118	+110	+120	+100	+115		25 
Cody Pfister	+210	+210	+210	+195	+216	+212	+190	+211	+200	+210	+155	+210		25 
Yosdenis Cedeno	-250	-250	-250	-250	-244	-270	-240	-237	-275	-250	-210	-245		25 
