	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Charles Oliveira	+215	+215	+210	+195	+221	+210	+200	+215	+185	+210	+180	+210		32 
Max Holloway	-255	-315	-260	-250	-249	-280	-260	-241	-250	-250	-250	-245		32 
Erick Silva	-200	-235	-185	-190	-196	-190	-200	-194	-210	-185	-185	-200		22 
Neil Magny	+170	+185	+160	+155	+174	+155	+160	+174	+160	+160	+145	+170		22 
Josh Burkman	-170	-170	-170	-155	-167	-150	-175	-170	-145	-170	-135	-158		22 
Patrick Cote	+150	+145	+145	+125	+153	+120	+145	+153	+115	+150	+105	+138		22 
Chad Laprise	-460	-475	-440	-400	-446	-425	-450	-450	-420	-440	-350	-450		22 
Francisco Trinaldo	+365	+375	+340	+300	+379	+315	+325	+385	+290	+350	+267	+350		22 
Olivier Aubin-Mercier	-200	-220	-220	-230	-196	-210	-230	-201	-235	-210	-285	-210		22 
Tony Sims	+170	+175	+175	+180	+174	+170	+180	+180	+175	+175	+202	+180		22 
Maryna Moroz	-265	-275	-260	-250	-259	-250	-280	-259	-210	-255	-210	-265		22 
Valerie Letourneau	+225	+220	+215	+195	+231	+200	+210	+230	+160	+215	+159	+225		22 
Felipe Arantes	-260	-260	-245	-235	-254	-230	-260	-235	-210	-235	-240	-245		22 
Yves Jabouin	+220	+215	+205	+185	+226	+185	+200	+210	+160	+195	+190	+210		22 
Marcos Rogerio De Lima	-150	-156	-156	-185	-147	-170	-165	-155	-180	-175	-168	-150		22 
Nikita Krylov	+130	+131	+131	+150	+133	+140	+135	+140	+140	+155	+137	+130		22 
Frankie Perez	-145	-156	-140	-145	-147	-135	-160	-149	-145	-150	-145	-150		22 
Sam Stout	+135	+131	+120	+115	+133	+105	+130	+135	+115	+130	+110	+130		22 
Chris Beal	-160	-163	-163	-170	-157	-165	-170	-165	-180	-160	-180	-170		22 
Chris Kelades	+140	+138	+138	+140	+143	+135	+140	+149	+140	+140	+140	+145		22 
Elias Silverio	-250	-260	-260	-250	-244	-275	-260	-234	-290	-250	-265	-240		22 
Shane Campbell	+210	+215	+215	+195	+216	+215	+200	+209	+210	+210	+190	+205		22 
Daniel Jolly	+435	+435	+435	+375	+455	+400	+400	+460	+400	+435	+450	+435		22 
Misha Cirkunov	-570	-565	-565	-550	-550	-550	-600	-549	-625	-570	-600	-565		22 
