	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
C.B. Dollaway	+675	+800	+640	+575	+674	+600	+600	+600	+439	+650	+525	+650		31 
Lyoto Machida	-860	-1500	-940	-950	-901	-900	-1000	-900	-741	-1100	-1000	-950		31 
Mitch Gagnon	+800	+625	+625	+650	+791	+900	+600	+700	+500	+690	+525	+600		21 
Renan Barao	-1000	-1000	-1000	-1100	-1079	-1600	-1000	-1000	-769	-1140	-1000	-900		21 
Antonio Carlos Junior	+135	+127	+127	+135	+133	+140	+125	+140	+113	+120	+120	+125		21 
Patrick Cummins	-145	-147	-147	-165	-147	-170	-155	-155	-151	-150	-155	-145		21 
Elias Silverio	+115	+115	+115	+100	+113	+120	+100	+109	+119	+100	+105	+105		21 
Rashid Magomedov	-125	-135	-135	-130	-127	-150	-130	-120	-153	-130	-135	-125		21 
Erick Silva	-400	-430	-425	-500	-389	-380	-450	-426	-379	-420	-450	-375		21 
Mike Rhodes	+325	+345	+325	+350	+336	+290	+325	+366	+286	+330	+290	+310		21 
Antonio Santos Jr.	+145	+142	+142	+140	+143	+145	+140	+144	+133	+135	+125	+140		21 
Daniel Safarian	-155	-167	-167	-170	-157	-175	-170	-160	-170	-165	-160	-160		21 
Igor Pokrajac	+400	+335	+335	+350	+389	+315	+325	+385	+276	+350	+300	+345		21 
Marcos Rogerio De Lima	-450	-415	-415	-500	-456	-425	-450	-450	-387	-440	-450	-415		21 
Renato Carneiro	-130	-130	-130	-145	-132	-125	-140	-135	-126	-135	-140	-125		21 
Tom Niinimaki	+120	+110	+110	+115	+118	-105	+110	+122	-105	+105	+110	+105		21 
Darren Elkins	+210	+195	+195	+190	+206	+160	+180	+210	+158	+190	+160	+190		21 
Hacran Dias	-230	-230	-230	-240	-234	-195	-230	-235	-201	-240	-220	-225		21 
Leandro Issa	+420	+358	+385	+350	+415	+325	+350	+415	+349	+300	+325	+360		21 
Yuta Sasaki	-475	-455	-485	-500	-485	-450	-500	-489	-499	-500	-500	-460		21 
Marcio Alexandre Jr.	+160	+145	+145	+155	+158	+190	+150	+158	+156	+145	+175	+165		21 
Tim Means	-170	-170	-170	-190	-172	-235	-180	-175	-202	-175	-240	-190		21 
Jake Collier	-175	-175	-175	-190	-181	-175	-190	-182	-187	-200	-175	-180		21 
Vitor Miranda	+165	+150	+150	+155	+164	+145	+155	+164	+147	+160	+135	+155		21 
