	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Anthony Pettis	-450	-475	-478	-500	-456	-475	-500	-470	-769	-500	-600	-520		35 
Rafael Anjos	+400	+380	+382	+350	+389	+350	+350	+400	+400	+300	+370	+405		35 
Carla Esparza	-160	-145	-145	-165	-157	-185	-160	-155	-167	-155	-160	-155		35 
Joanna Jedrzejczyk	+140	+125	+125	+135	+143	+150	+130	+140	+120	+125	+125	+135		35 
Johny Hendricks	-380	-420	-420	-370	-389	-500	-380	-368	-556	-380	-400	-350		25 
Matt Brown	+340	+340	+320	+280	+336	+375	+280	+320	+325	+290	+270	+285		25 
Alistair Overeem	-160	-155	-155	-165	-162	-165	-165	-170	-164	-160	-160	-155		25 
Roy Nelson	+150	+135	+135	+135	+148	+135	+135	+153	+120	+130	+125	+135		25 
Chris Cariaso	+600	+525	+525	+475	+587	+450	+475	+525	+500	+500	+435	+550		26 
Henry Cejudo	-750	-725	-725	-750	-763	-650	-750	-725	-1111	-800	-750	-750		26 
Ross Pearson	-370	-390	-390	-380	-380	-380	-400	-362	-526	-450	-400	-390		25 
Sam Stout	+330	+315	+315	+290	+330	+290	+300	+315	+320	+360	+270	+325		25 
Elias Theodorou	-335	-350	-350	-360	-341	-330	-350	-331	-500	-400	-400	-325		25 
Roger Narvaez	+305	+290	+290	+270	+299	+250	+250	+290	+305	+310	+270	+275		25 
Beneil Dariush	+110	-105	-104	+100	+108	-110	-105	+109	-139	-115	-115	+100		26 
Daron Cruickshank	-120	-115	-116	-130	-122	-120	-125	-120	+100	-115	-115	-120		26 
Jared Rosholt	-310	-295	-285	-310	-316	-370	-300	-301	-435	-325	-320	-300		25 
Josh Copeland	+280	+245	+235	+240	+274	+285	+220	+265	+275	+245	+225	+250		25 
Ryan Benoit	+540	+425	+425	+450	+530	+450	+450	+450	+440	+470	+415	+525		25 
Sergio Pettis	-660	-555	-555	-700	-670	-650	-700	-650	-833	-720	-700	-700		25 
Jake Lindsey	+575	+500	+500	+475	+559	+500	+375	+550	+485	+450	+370	+550		25 
Joseph Duffey	-710	-650	-650	-750	-716	-700	-550	-750	-1000	-750	-600	-750		25 
Germaine De Randamie	+115	+105	+105	-105	+113	-115	-105	+104	+110	+100	+100	+107		25 
Larissa Pacheco	-125	-125	-125	-125	-127	-115	-125	-115	-152	-130	-130	-127		25 
