	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Benson Henderson	+155	+136	+136	+145	+153	+130	+140	+156	+140	+130	+119	+148		31 
Brandon Thatch	-165	-162	-162	-175	-167	-160	-170	-173	-182	-160	-158	-173		31 
Cole Miller	+400	+370	+370	+325	+397	+400	+325	+380	+300	+340	+270	+350		21 
Max Holloway	-450	-465	-465	-450	-466	-550	-450	-444	-400	-430	-400	-450		21 
Kiichi Kunimoto	+645	+600	+600	+575	+645	+500	+550	+600	+400	+450	+390	+650		21 
Neil Magny	-815	-900	-900	-950	-855	-700	-900	-900	-625	-700	-650	-950		21 
Daniel Kelly	+105	+113	+113	+100	+103	-130	+100	+108	+120	+120	+120	+108		21 
Patrick Walsh	-115	-133	-133	-130	-117	+100	-130	-119	-154	-150	-155	-128		21 
Kevin Lee	-155	-160	-160	-170	-157	-190	-160	-158	-164	-155	-160	-160		21 
Michel Prazeres	+145	+135	+135	+140	+143	+155	+130	+143	+130	+125	+125	+140		21 
Chris Kelades	+775	+750	+700	+650	+760	+500	+750	+700	+500	+500	+490	+675		21 
Ray Borg	-975	-1150	-1150	-1100	-1040	-700	-1200	-1100	-833	-800	-900	-1000		21 
Levan Makashvili	+400	+355	+355	+350	+389	+325	+350	+385	+325	+300	+300	+355		20 
Nik Lentz	-450	-450	-450	-500	-456	-450	-500	-450	-455	-500	-450	-455		20 
Efrain Escudero	+155	+133	+133	+140	+153	+140	+135	+146	+125	+120	+125	+144		21 
Rodrigo Lima	-165	-157	-157	-170	-167	-170	-165	-162	-167	-150	-160	-164		21 
Chas Skelly	-230	-230	-240	-250	-234	-225	-240	-231	-227	-240	-250	-255		21 
Jim Alers	+210	+195	+200	+195	+206	+180	+190	+206	+175	+190	+180	+215		21 
Tim Elliott	-120	-131	-135	-135	-122	-115	-135	-127	-125	-120	-120	-132		21 
Zach Makovsky	+110	+112	+115	+105	+108	-115	+105	+115	-110	-110	-109	+112		21 
Cody Pfister	+220	+210	+210	+200	+216	+200	+200	+216	+185	+190	+175	+220		21 
James Moontasri	-240	-250	-250	-260	-244	-250	-260	-242	-238	-240	-240	-260		21 
