	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Renan Barao	+170	+200	+165	+180	+174	+140	+160	+174	+155	+185	+190	+170		35 
T.J. Dillashaw	-200	-295	-200	-230	-196	-170	-200	-194	-195	-225	-240	-200		35 
Jessica Eye	+170	+185	+170	+170	+174	+160	+155	+165	+180	+170	+165	+160		25 
Miesha Tate	-200	-245	-200	-210	-196	-195	-190	-183	-240	-200	-210	-185		25 
Edson Barboza	-155	-160	-165	-145	-152	-165	-170	-155	-160	-145	-165	-160		25 
Paul Felder	+135	+135	+140	+115	+138	+135	+140	+140	+125	+125	+140	+140		25 
Joe Lauzon	-310	-385	-315	-365	-302	-350	-300	-289	-400	-345	-370	-300		25 
Takanori Gomi	+255	+285	+250	+275	+263	+270	+220	+255	+280	+265	+255	+250		25 
Gian Villante	-220	-275	-230	-235	-214	-245	-210	-206	-240	-210	-275	-210		25 
Tom Lawlor	+180	+210	+185	+185	+186	+197	+165	+185	+180	+175	+200	+180		25 
Danny Castillo	+120	+123	+123	+110	+123	+105	+110	+120	+110	+100	+100	+120		25 
Jim Miller	-140	-143	-143	-140	-137	-135	-140	-133	-140	-120	-130	-140		25 
Ben Saunders	+115	+110	+110	-115	+118	-110	+100	+115	-115	+105	-130	+110		26 
Kenny Robertson	-135	-130	-130	-115	-132	-120	-130	-127	-115	-125	+100	-130		26 
Bryan Caraway	+120	+117	+114	+120	+123	+100	+120	+125	+110	+100	-105	+125		25 
Eddie Wineland	-140	-137	-135	-150	-137	-130	-150	-138	-140	-120	-125	-145		25 
Daron Cruickshank	-200	-195	-195	-160	-196	-210	-200	-196	-180	-190	-185	-205		25 
James Krause	+170	+166	+165	+130	+174	+170	+160	+176	+140	+165	+140	+175		25 
Andrew Holbrook	+135	+131	+131	+115	+138	+135	+135	+140	+115	+130	+115	+140		25 
Ramsey Nijem	-155	-156	-156	-145	-152	-165	-165	-155	-145	-150	-150	-160		25 
Elizabeth Phillips	-150	-150	-150	-175	-147	-135	-150	-144	-165	-150	-160	-145		25 
Jessamyn Duke	+130	+130	+130	+145	+133	+105	+120	+130	+130	+130	+125	+125		25 
Dominique Steele	+340	+325	+325	+215	+336	+290	+300	+336	+240	+260	+255	+330		25 
Zak Cummings	-380	-400	-400	-275	-389	-380	-400	-388	-335	-360	-370	-400		25 
