	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Gabriel Gonzaga	-220	-200	-200	-225	-214	-215	-230	-210	-230	-230	-240	-205		30 
Mirko Filipovic	+180	+170	+170	+175	+186	+175	+180	+188	+170	+180	+175	+175		30 
Jan Blachowicz	-120	+120	+120	-120	-117	-105	-125	-110	-120	-105	-120	-125		21 
Jimi Manuwa	+100	-140	-140	-110	+103	-125	-105	+100	-110	-125	-110	+105		21 
Pawel Pawlak	+190	+170	+170	+185	+196	+200	+175	+196	+170	+160	+160	+175		20 
Sheldon Westcott	-230	-200	-200	-235	-224	-250	-220	-219	-230	-200	-220	-205		20 
Joanne Calderwood	-550	-800	-823	-600	-531	-900	-600	-545	-650	-600	-900	-475		20 
Maryna Moroz	+425	+575	+562	+400	+444	+600	+400	+445	+425	+400	+490	+375		20 
Leon Edwards	-170	-135	-135	-185	-167	-200	-175	-170	-145	-135	-160	-170		20 
Seth Baczynski	+150	+115	+115	+150	+153	+165	+145	+153	+115	+105	+125	+145		20 
Bartosz Fabinski	-135	-125	-125	-145	-132	-165	-145	-137	-140	-130	-135	-139		20 
Garreth McLellan	+115	+105	+105	+115	+118	+135	+115	+124	+110	+100	+105	+119		20 
Mickael Lebout	+425	+345	+345	+375	+444	+400	+375	+442	+350	+300	+325	+380		20 
Sergio Moraes	-550	-425	-425	-550	-531	-550	-550	-525	-525	-500	-500	-480		20 
Damian Stasiak	-135	-130	-130	-135	-132	-145	-135	-126	-140	-125	-135	-140		20 
Yaotzin Meza	+115	+110	+110	+105	+118	+115	+105	+114	+110	-105	+105	+120		20 
Anthony Hamilton	+115	+135	+135	+115	+118	+120	+115	+112	+115	+120	+110	+132		20 
Daniel Omielanczuk	-135	-160	-160	-145	-132	-150	-145	-124	-145	-150	-145	-152		20 
Aleksandra Albu	-225	-220	-220	-240	-219	-250	-240	-230	-235	-220	-230	-220		20 
Izabela Badurek	+185	+185	+185	+190	+191	+200	+190	+205	+175	+180	+170	+185		20 
Marcin Bandel	+135	+161	+161	+140	+138	+150	+135	+140	+140	+130	+150	+137		20 
Stevie Ray	-155	-190	-190	-170	-152	-185	-165	-155	-180	-160	-200	-157		20 
Rocky Lee	+130	+161	+161	+130	+133	+175	+120	+132	+125	+130	+145	+133		20 
Taylor Lapilus	-150	-190	-190	-160	-147	-215	-150	-146	-160	-160	-190	-153		20 
