	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Dominick Cruz	+135	+140	+140	+130	+138	+125	+130	+137	+110	+140	+115	+131		33 
T.J. Dillashaw	-155	-172	-172	-160	-152	-155	-160	-155	-140	-160	-150	-151		33 
Anthony Pettis	-360	-375	-365	-375	-351	-350	-375	-353	-365	-350	-350	-360		22 
Eddie Alvarez	+300	+295	+295	+285	+309	+270	+275	+300	+255	+250	+245	+295		22 
Matt Mitrione	+150	+142	+142	+145	+153	+125	+150	+145	+130	+140	+140	+150		22 
Travis Browne	-170	-170	-170	-175	-167	-155	-180	-164	-165	-160	-180	-175		22 
Francisco Trinaldo	+130	+124	+124	+135	+133	+120	+135	+140	+130	+120	+120	+133		23 
Ross Pearson	-150	-145	-145	-165	-147	-150	-165	-158	-165	-140	-155	-153		23 
Ben Saunders	-150	-156	-156	-160	-147	-130	-160	-150	-125	-140	-140	-150		22 
Patrick Cote	+130	+131	+131	+130	+133	+100	+130	+133	-105	+120	+106	+130		22 
Ed Herman	+150	+146	+146	+145	+153	+160	+145	+150	+190	+155	+170	+145		22 
Tim Boetsch	-170	-175	-175	-175	-167	-195	-175	-170	-260	-175	-230	-170		22 
Chris Wade	-470	-450	-450	-500	-456	-450	-500	-458	-385	-400	-380	-450		22 
Mehdi Baghdad	+375	+350	+350	+350	+389	+325	+350	+380	+270	+325	+260	+350		22 
Daron Cruickshank	+200	+200	+200	+200	+206	+210	+180	+195	+215	+215	+185	+190		22 
Paul Felder	-240	-245	-240	-260	-234	-265	-230	-223	-295	-255	-260	-225		22 
Luke Sanders	+105	+105	+102	+100	+108	-105	-105	+105	+100	+100	-110	+100		22 
Maximo Blanco	-125	-125	-122	-130	-122	-125	-125	-118	-130	-120	-120	-120		22 
Ilir Latifi	-275	-255	-255	-280	-269	-265	-280	-241	-295	-275	-275	-265		22 
Sean O'Connell	+235	+210	+210	+220	+241	+210	+210	+210	+215	+195	+200	+225		22 
Charles Rosa	-255	-245	-245	-275	-249	-250	-280	-253	-270	-260	-260	-250		22 
Kyle Bochniak	+215	+205	+205	+215	+221	+200	+210	+220	+195	+220	+185	+210		22 
Joey Gomez	+180	+180	+180	+170	+186	+165	+165	+180	+175	+185	+160	+175		22 
Rob Font	-220	-215	-215	-210	-214	-200	-210	-205	-235	-220	-220	-205		22 
Elvis Mutapcic	-160	-150	-160	-170	-157	-170	-160	-158	-175	-160	-170	-155		22 
Francimar Barroso	+140	+130	+135	+140	+143	+140	+130	+140	+135	+140	+130	+135		22 
Event props														54 
