	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Carlos Condit	-105	-102	-102	-105	-102	+100	+100	+105	-115	-110	+103	-113		37 
Robbie Lawler	-115	-118	-118	-125	-112	-130	-130	-116	-115	-110	-130	-107		37 
Andrei Arlovski	+210	+205	+202	+180	+216	+155	+180	+210	+165	+185	+170	+175		26 
Stipe Miocic	-250	-245	-243	-230	-244	-190	-230	-235	-220	-225	-230	-205		26 
Albert Tumenov	-250	-260	-272	-260	-244	-235	-270	-235	-280	-250	-260	-235		26 
Lorenz Larkin	+210	+210	+222	+200	+216	+190	+210	+210	+205	+210	+185	+200		26 
Brian Ortega	-165	-170	-170	-170	-162	-160	-170	-161	-175	-165	-180	-168		26 
Diego Brandao	+145	+145	+145	+140	+148	+130	+140	+145	+135	+145	+135	+148		26 
Abel Trujillo	+135	+135	+135	+120	+138	+115	+125	+135	+120	+140	+120	+132		26 
Tony Sims	-155	-160	-160	-150	-152	-145	-155	-149	-150	-160	-150	-152		26 
Masanori Kanehara	+450	+401	+401	+375	+472	+350	+400	+415	+435	+475	+350	+410		26 
Michael McDonald	-600	-526	-526	-550	-578	-475	-600	-489	-675	-600	-550	-525		26 
Alex Morono	+310	+315	+315	+300	+319	+300	+300	+325	+255	+270	+245	+310		26 
Kyle Noke	-370	-385	-385	-400	-361	-400	-400	-374	-365	-370	-350	-375		26 
Justine Kish	-220	-204	-204	-205	-214	-195	-220	-195	-230	-220	-230	-205		26 
Nina Ansaroff	+180	+169	+169	+165	+186	+160	+175	+175	+170	+180	+170	+175		26 
Drew Dober	+180	+179	+170	+170	+186	+167	+175	+175	+170	+185	+160	+181		26 
Scott Holtzman	-220	-211	-200	-210	-214	-205	-220	-195	-230	-220	-200	-211		26 
Dustin Poirier	+130	+128	+128	+135	+133	+110	+125	+135	+125	+130	+140	+141		26 
Joseph Duffy	-150	-149	-149	-165	-147	-140	-155	-149	-160	-150	-170	-161		26 
Joe Soto	+120	+118	+127	+105	+123	+105	+110	+122	+105	+120	+110	+124		26 
Michinori Tanaka	-140	-140	-147	-135	-137	-135	-140	-135	-135	-140	-140	-144		26 
Edgar Garcia	+145	+135	+135	+145	+148	+120	+135	+145	+125	+145	+125	+145		26 
Sheldon Westcott	-165	-160	-160	-175	-162	-150	-165	-161	-160	-165	-165	-165		26 
