	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Dan Henderson	+270	+275	+275	+275	+279	+240	+275	+300	+250	+250	+255	+285		32 
Vitor Belfort	-330	-340	-340	-365	-321	-320	-375	-343	-360	-330	-365	-350		32 
Glover Teixeira	-525	-550	-550	-650	-509	-425	-700	-625	-525	-525	-600	-600		22 
Patrick Cummins	+415	+415	+415	+425	+431	+315	+450	+425	+350	+400	+380	+450		22 
Anthony Birchak	+415	+359	+350	+350	+431	+350	+350	+425	+345	+375	+335	+420		22 
Thomas Almeida	-525	-453	-435	-500	-509	-475	-500	-625	-510	-500	-525	-550		22 
Alex Oliveira	-280	-285	-285	-300	-274	-285	-300	-280	-260	-280	-260	-280		22 
Piotr Hallmann	+240	+235	+235	+230	+246	+220	+220	+248	+190	+200	+185	+240		22 
Gilbert Burns	+155	+160	+160	+155	+158	+165	+155	+160	+160	+165	+160	+155		22 
Rashid Magomedov	-175	-190	-190	-190	-172	-200	-190	-178	-210	-190	-220	-180		22 
Corey Anderson	-700	-502	-502	-650	-670	-500	-700	-675	-625	-550	-600	-500		22 
Fabio Maldonado	+500	+401	+401	+425	+530	+375	+450	+475	+400	+425	+370	+385		22 
Abel Trujillo	+110	+100	+100	+110	+113	-105	+110	+118	+105	+105	+105	+112		22 
Gleison Tibau	-130	-130	-130	-140	-127	-125	-140	-130	-135	-125	-135	-132		22 
Johnny Case	-200	-215	-215	-225	-196	-225	-210	-195	-315	-200	-260	-210		22 
Yan Cabral	+170	+175	+175	+175	+174	+180	+165	+175	+230	+170	+185	+180		22 
Clay Guida	-170	-175	-175	-190	-172	-170	-175	-172	-175	-165	-165	-170		22 
Thiago Tavares	+160	+150	+150	+155	+158	+140	+145	+155	+135	+145	+125	+145		22 
Chas Skelly	-185	-182	-182	-185	-181	-195	-175	-178	-190	-170	-180	-175		22 
Kevin Souza	+160	+157	+157	+150	+164	+160	+145	+160	+150	+150	+135	+150		22 
Gasan Umalatov	-130	-130	-131	-135	-127	-130	-135	-123	-145	-130	-135	-120		22 
Viscardi Andrade	+110	+110	+111	+105	+113	+100	+105	+111	+115	+110	+105	+100		22 
Jimmie Rivera	+150	+145	+145	+150	+153	+145	+150	+150	+150	+150	+135	+145		22 
Pedro Munhoz	-170	-170	-170	-185	-167	-175	-180	-166	-190	-170	-180	-170		22 
Bruno Korea	+165	+170	+170	+160	+169	+165	+160	+165	+170	+165	+145	+165		22 
Matheus Nicolau	-190	-200	-200	-200	-186	-200	-200	-183	-230	-190	-190	-190		22 
