	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Frankie Edgar	-550	-800	-550	-500	-531	-500	-550	-489	-625	-600	-600	-551		31 
Urijah Faber	+425	+450	+385	+350	+444	+375	+375	+415	+400	+475	+370	+421		31 
Costas Philippou	+550	+550	+486	+475	+587	+425	+500	+550	+475	+450	+435	+575		21 
Gegard Mousasi	-800	-750	-721	-750	-763	-600	-800	-750	-750	-750	-750	-800		21 
Luke Barnett	-135	-145	-145	-135	-132	-155	-135	-127	-140	-135	-150	-140		21 
Mark Munoz	+115	+125	+122	+105	+118	+125	+105	+115	+110	+115	+115	+120		21 
Hyun Lim	+105	+108	+108	+100	+108	-110	-105	+109	+110	+105	+100	+105		21 
Neil Magny	-125	-128	-128	-130	-122	-120	-125	-120	-140	-125	-130	-125		21 
Phillipe Nover	+135	+135	+135	+130	+138	+135	+130	+137	+150	+150	+136	+130		21 
Yui Nam	-155	-160	-160	-160	-152	-165	-160	-152	-190	-170	-183	-150		21 
Levan Makashvili	-390	-385	-385	-400	-380	-400	-400	-368	-475	-400	-400	-380		21 
Mark Eddiva	+320	+315	+315	+300	+330	+300	+300	+320	+325	+325	+270	+315		21 
Jon Tuck	-230	-214	-214	-240	-224	-215	-230	-225	-160	-150	-230	-220		21 
Tae Hyun Bang	+190	+179	+179	+190	+196	+175	+180	+201	+125	+130	+170	+185		21 
Kajan Johnson	-105	-110	-110	-120	-102	-115	-115	-105	-145	+110	-105	-110		22 
Lipeng Zhang	-115	-110	-110	-110	-112	-115	-115	-105	+115	-130	-125	-110		22 
Dhiego Lima	-140	-156	-156	-155	-142	-150	-150	-141	-185	-160	-165	-150		21 
Li Jingliang	+130	+131	+131	+125	+128	+120	+120	+128	+145	+140	+125	+130		21 
Ning Guangyou	-140	-147	-147	-145	-137	-145	-145	-140	-130	-150	-150	-147		21 
Royston Wee	+120	+127	+127	+115	+123	+115	+115	+127	+100	+130	+115	+127		21 
Jon Delos Reyes	-150	-150	-150	-165	-147	-155	-150	-155	-195	-185	-160	-155		21 
Roldan Sangcha-An	+130	+130	+130	+135	+133	+125	+120	+140	+155	+160	+125	+135		21 
Nolan Ticman	-270	-290	-290	-285	-264	-250	-300	-271	-260	-280	-275	-275		22 
Zhuikui Yao	+230	+240	+240	+225	+236	+200	+220	+240	+190	+200	+200	+235		22 
