5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Conor McGregor	-425	-585	-465	-400	-412	-400	-450	-431	-400	-425	-450	-475		41 
Nathan Diaz	+340	+400	+365	+300	+353	+300	+325	+360	+280	+340	+300	+375		41 
Holly Holm	-300	-350	-320	-310	-293	-275	-300	-296	-335	-290	-300	-310		36 
Miesha Tate	+250	+280	+261	+240	+257	+215	+220	+255	+240	+245	+240	+260		36 
Gian Villante	+160	+180	+175	+155	+164	+135	+160	+155	+170	+160	+150	+155		26 
Ilir Latifi	-185	-215	-210	-190	-181	-165	-200	-176	-230	-185	-200	-180		26 
Corey Anderson	-250	-285	-265	-260	-244	-265	-260	-241	-315	-250	-320	-255		26 
Tom Lawlor	+210	+235	+215	+200	+216	+210	+200	+210	+230	+210	+225	+215		26 
Amanda Nunes	-105	+110	+103	-115	-102	-115	-115	-106	-125	-105	-115	-110		26 
Valentina Shevchenko	-115	-130	-123	-115	-112	-115	-115	-106	-105	-115	-115	-110		26 
Brandon Thatch	-335	-365	-350	-325	-326	-320	-350	-315	-370	-335	-320	-355		26 
Siyar Bahadurzada	+275	+300	+290	+250	+284	+240	+250	+270	+260	+275	+225	+290		26 
Erick Silva	-225	-221	-221	-210	-219	-225	-210	-205	-275	-225	-240	-210		26 
Nordine Taleb	+185	+181	+181	+170	+191	+180	+165	+180	+200	+185	+170	+180		26 
Marcelo Guimaraes	+250	+235	+235	+235	+257	+220	+230	+231	+265	+255	+225	+270		26 
Vitor Miranda	-300	-285	-285	-305	-293	-285	-310	-266	-380	-310	-320	-330		26 
Chas Skelly	-175	-170	-170	-190	-172	-175	-190	-176	-195	-175	-180	-180		26 
Darren Elkins	+155	+145	+145	+155	+158	+145	+155	+155	+155	+155	+135	+155		26 
Diego Sanchez	+160	+162	+162	+155	+164	+135	+155	+165	+155	+160	+140	+155		26 
Jim Miller	-185	-193	-193	-190	-181	-165	-190	-187	-195	-185	-185	-180		26 
Jason Saggo	-190	-191	-191	-225	-186	-210	-220	-217	-240	-190	-210	-215		26 
Justin Salas	+165	+161	+161	+175	+169	+170	+175	+190	+180	+165	+155	+185		26 
Julian Erosa	-175	-170	-170	-185	-172	-170	-180	-170	-190	-175	-180	-175		26 
Teruto Ishihara	+155	+145	+145	+150	+158	+140	+150	+150	+150	+155	+135	+150		26 
Event props														51 
