	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Chad Mendes	-460	-560	-485	-450	-446	-425	-500	-425	-525	-430	-450	-475		31 
Ricardo Lamas	+365	+400	+385	+325	+379	+315	+350	+365	+350	+340	+300	+375		31 
Al Iaquinta	-110	-105	-105	-120	-107	-110	-120	-105	-115	-115	-115	-110		21 
Jorge Masvidal	-110	-115	-115	-110	-107	-120	-110	-105	-115	-115	-115	-110		21 
Michael Chiesa	-420	-410	-410	-450	-407	-360	-450	-399	-420	-420	-400	-400		21 
Mitch Clarke	+335	+332	+332	+325	+348	+280	+325	+345	+290	+330	+275	+330		21 
Julianna Pena	-400	-396	-396	-450	-389	-500	-400	-399	-340	-400	-400	-410		21 
Milana Dudleva	+325	+322	+322	+325	+336	+375	+300	+345	+245	+310	+270	+340		21 
Clay Guida	-245	-245	-245	-250	-239	-250	-260	-239	-280	-240	-260	-250		21 
Robbie Peralta	+205	+205	+205	+195	+211	+200	+200	+213	+205	+190	+185	+210		21 
Diego Ferreira	+130	+126	+126	+135	+133	+145	+125	+133	+130	+125	+115	+128		21 
Dustin Poirier	-150	-146	-146	-165	-147	-175	-155	-147	-165	-155	-150	-148		21 
Lauren Murphy	-120	-117	-118	-125	-117	-115	-125	-123	-110	-115	-120	-120		22 
Liz Carmouche	+100	-103	-102	-105	+103	-115	-105	+111	-120	-115	-110	+100		22 
Alexander Yakovlev	-140	-148	-148	-140	-137	-130	-145	-130	-170	-160	-150	-144		21 
Gray Maynard	+120	+128	+128	+110	+123	+100	+115	+118	+130	+130	+115	+124		21 
Shamil Abdurahimov	-260	-293	-293	-270	-254	-285	-260	-259	-270	-250	-275	-250		21 
Timothy Johnson	+220	+241	+241	+210	+226	+220	+200	+230	+195	+190	+200	+210		21 
Justin Jones	-185	-190	-190	-185	-181	-200	-190	-178	-175	-185	-180	-185		21 
Ron Stallings	+160	+161	+161	+150	+164	+165	+155	+160	+135	+155	+135	+160		21 
