	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Alex Oliveira	+230	+204	+204	+200	+236	+195	+200	+215	+200	+200	+155	+210		32 
Donald Cerrone	-270	-252	-252	-260	-264	-240	-260	-247	-275	-240	-210	-250		32 
Derek Brunson	-365	-370	-365	-375	-356	-330	-375	-353	-410	-400	-400	-350		22 
Roan Carneiro	+305	+305	+300	+285	+314	+250	+275	+300	+285	+325	+270	+285		22 
Augusto Mendes	+360	+355	+345	+325	+373	+270	+325	+355	+280	+260	+260	+345		22 
Cody Garbrandt	-450	-485	-425	-450	-437	-350	-450	-425	-400	-360	-380	-415		22 
Dennis Bermudez	-355	-400	-365	-375	-346	-340	-375	-353	-435	-380	-380	-360		22 
Tatsuya Kawajiri	+295	+325	+300	+285	+304	+260	+275	+300	+300	+305	+260	+295		22 
Chris Camozzi	-225	-240	-220	-225	-219	-230	-220	-211	-250	-240	-260	-206		22 
Joe Riggs	+185	+195	+180	+175	+191	+185	+175	+185	+185	+200	+185	+176		22 
James Krause	-185	-180	-180	-185	-181	-145	-190	-185	-165	-155	-150	-181		22 
Shane Campbell	+160	+155	+155	+150	+164	+115	+155	+163	+130	+135	+115	+156		22 
Alex Garcia	-105	-105	+100	-115	-102	-120	-110	-106	-125	+100	-115	-110		22 
Sean Strickland	-115	-115	-121	-115	-112	-110	-120	-106	-105	-120	-115	-110		22 
Daniel Sarafian	-130	-126	-126	-135	-127	-140	-135	-124	-165	-140	-150	-140		22 
Oluwale Bamgbose	+110	+106	+106	+105	+113	+110	+105	+110	+130	+120	+115	+120		22 
Anthony Smith	-135	-140	-156	-135	-132	-140	-140				-135			22 
Leonardo Augusto Leleco	+115	+120	+130	+105	+118	+110	+110				+105			22 
Jonavin Webb	-260	-245	-235	-260	-254	-240	-260	-241	-300	-255	-260	-250		22 
Nathan Coy	+220	+205	+195	+200	+226	+195	+200	+210	+220	+215	+185	+210		22 
Ashlee Evans-Smith	+165	+170	+170	+160	+169	+135	+155	+165	+160	+160	+145	+175		22 
Marion Reneau	-190	-200	-200	-200	-186	-165	-190	-187	-210	-185	-190	-205		22 
Kelly Faszholz	+255	+270	+270	+240	+263	+260	+250	+260	+300	+250	+260	+255		22 
Lauren Murphy	-310	-330	-330	-310	-302	-340	-350	-302	-435	-350	-380	-305		22 
Anthony Hamilton	+105	+103	+103	-110	+108	-130	-105	+105	+100	-105	-110	-110		22 
Shamil Abdurakhimov	-125	-123	-123	-120	-122	+100	-125	-118	-130	-115	-120	-110		22 
Event props														57 
