	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Paige VanZant	-140	-145	-140	-140	-137	-135	-135	-129	-150	-145	-150	-142		32 
Rose Namajunas	+120	+120	+120	+110	+123	+105	+105	+117	+120	+125	+115	+122		32 
Jim Miller	+130	+125	+125	+125	+133	+125	+125	+133	+115	+125	+110	+130		22 
Michael Chiesa	-150	-145	-145	-155	-147	-155	-155	-147	-145	-145	-145	-150		22 
Cody Pfister	+650	+585	+585	+500	+702	+575	+550	+674	+600	+600	+590	+600		22 
Sage Northcutt	-1000	-900	-900	-800	-948	-900	-900	-900	-1000	-900	-1200	-900		22 
Elias Theodorou	-225	-225	-225	-230	-219	-205	-230	-225	-290	-230	-260	-230		22 
Thiago Santos	+185	+190	+190	+180	+191	+167	+180	+201	+210	+190	+185	+195		22 
John Howard	+330	+290	+290	+275	+342	+270	+275	+305	+325	+325	+270	+310		22 
Tim Means	-410	-350	-350	-365	-398	-350	-375	-350	-475	-400	-400	-375		22 
Omari Akhmedov	-145	-144	-144	-145	-142	-135	-140	-133	-160	-135	-145	-140		22 
Sergio Moraes	+125	+124	+124	+115	+128	+105	+110	+120	+125	+115	+110	+120		22 
Antonio Carlos Junior	-310	-310	-310	-325	-302	-280	-325	-289	-380	-320	-320	-310		22 
Kevin Casey	+255	+255	+255	+250	+263	+217	+245	+255	+265	+240	+225	+260		22 
Aljamain Sterling	-640	-585	-597	-650	-615	-600	-600	-601	-850	-600	-650	-650		22 
Johnny Eduardo	+470	+445	+455	+425	+495	+425	+400	+499	+525	+475	+390	+475		22 
Andreas Stahl	+150	+134	+134	+140	+153	+145	+135	+143	+150	+175	+155	+142		22 
Santiago Ponzinibbio	-170	-157	-157	-170	-167	-175	-165	-158	-190	-210	-210	-162		22 
Danny Roberts	-150	-160	-165	-165	-152	-155	-160	-155	-175	-155	-160	-160		22 
Nathan Coy	+140	+135	+140	+135	+138	+125	+130	+140	+135	+135	+125	+140		22 
Phillipe Nover	+295	+285	+290	+285	+304	+240	+275	+305	+305	+265	+250	+295		22 
Zubaira Tukhugov	-355	-345	-355	-375	-346	-320	-375	-350	-440	-345	-360	-360		22 
Emily Kagan	+300	+265	+265	+245	+309	+280	+250	+264	+290	+265	+245	+275		22 
Kailin Curran	-360	-325	-325	-315	-351	-360	-350	-300	-420	-345	-350	-325		22 
Event props														46 
