	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Conor McGregor	-975	-1415	-975	-1000	-1040	-1000	-1400	-948	-1111	-1100	-1500	-1000		35 
Dennis Siver	+775	+725	+645	+600	+760	+650	+700	+648	+650	+650	+660	+675		35 
Benson Henderson	-135	-135	-135	-150	-137	-135	-145	-138	-154	-145	-170	-135		29 
Donald Cerrone	+125	+115	+120	+120	+123	+105	+115	+125	+120	+115	+130	+115		29 
Ron Stallings	+800	+550	+550	+650	+776	+500	+600	+715	+650	+715	+525	+600		26 
Urijah Hall	-1000	-750	-750	-1100	-1059	-700	-1000	-1115	-1111	-1120	-1000	-900		26 
Gleison Tibau	-150	-160	-160	-165	-152	-185	-165	-160	-169	-155	-150	-155		25 
Norman Parke	+140	+135	+135	+135	+138	+150	+135	+144	+135	+125	+115	+135		25 
Cathal Pendred	+160	+152	+152	+145	+158	+150	+150	+162	+135	+145	+125	+145		25 
Sean Spencer	-170	-179	-179	-175	-172	-185	-180	-180	-169	-175	-165	-170		25 
John Howard	+167	+166	+152	+155	+164	+145	+155	+157	+160	+160	+145	+155		25 
Lorenz Larkin	-178	-195	-178	-190	-181	-175	-190	-174	-200	-200	-190	-180		25 
Chris Wade	-605	-528	-528	-600	-615	-500	-600	-625	-667	-700	-600	-560		25 
Zhang Lipeng	+505	+406	+406	+400	+495	+375	+400	+516	+425	+450	+370	+430		25 
Patrick Holohan	-345	-327	-327	-365	-351	-450	-375	-356	-357	-335	-340	-360		25 
Shane Howell	+315	+267	+267	+275	+309	+325	+275	+310	+265	+255	+240	+295		25 
Frankie Perez	+155	+137	+137	+145	+153	+130	+145	+150	+145	+140	+130	+145		25 
Johnny Case	-165	-161	-161	-175	-167	-160	-175	-166	-185	-170	-170	-170		25 
Charles Rosa	-125	-131	-131	-145	-127	-125	-140	-133	-159	-140	-150	-136		25 
Sean Soriano	+115	+111	+111	+115	+113	-105	+110	+120	+125	+110	+115	+116		25 
Matt Van Buren	+215	+175	+175	+190	+211	+155	+190	+205	+175	+180	+150	+185		25 
Sean O'Connell	-235	-205	-205	-240	-239	-190	-240	-230	-227	-230	-200	-220		25 
Joby Sanchez	-230	-197	-214	-225	-234	-185	-220	-224	-227	-210	-200	-221		25 
Tateki Matsuda	+210	+168	+182	+175	+206	+150	+175	+200	+175	+170	+150	+186		25 
