	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Conor McGregor	-105	-109	-109	-105	-102	+105	-110	+100	-105	+105	-105	-108		38 
Jose Aldo	-115	-111	-111	-125	-112	-135	-120	-110	-125	-125	-125	-112		38 
Chris Weidman	-150	-168	-168	-165	-147	-175	-160	-145	-165	-160	-160	-161		36 
Luke Rockhold	+130	+137	+137	+135	+133	+145	+130	+131	+130	+140	+125	+141		36 
Ronaldo Souza	-140	-138	-134	-145	-137	-125	-140	-135	-135	-135	-125	-130		26 
Yoel Romero	+120	+116	+114	+115	+123	-105	+110	+122	+105	+115	-102	+110		26 
Demian Maia	+105	+104	+104	+105	+108	-115	+105	+108	+115	+105	+100	+105		27 
Gunnar Nelson	-125	-124	-124	-135	-122	-115	-135	-119	-145	-125	-130	-125		27 
Jeremy Stephens	+360	+375	+375	+325	+373	+300	+350	+346	+370	+445	+350	+350		26 
Max Holloway	-450	-485	-485	-450	-437	-400	-500	-400	-550	-570	-550	-450		26 
Frankie Saenz	+390	+385	+365	+325	+405	+315	+325	+365	+400	+385	+390	+350		26 
Urijah Faber	-490	-505	-460	-450	-475	-425	-450	-425	-625	-485	-650	-450		26 
Jocelyn Jones-Lybarger	+245	+230	+230	+240	+252	+225	+220	+260	+230	+210	+225	+245		26 
Tecia Torres	-290	-280	-280	-310	-283	-290	-300	-295	-315	-290	-320	-285		26 
Colby Covington	-125	-134	-134	-130	-122	-140	-125	-110	-135	-125	-135	-122		26 
Warlley Alves	+105	+114	+114	+100	+108	+110	-105	-100	+105	+105	+105	+102		26 
Kevin Lee	-650	-585	-585	-550	-624	-550	-600	-470	-625	-650	-600	-510		26 
Leonardo Santos	+475	+425	+425	+375	+501	+400	+400	+400	+400	+475	+370	+395		26 
Joe Proctor	+300	+320	+320	+300	+309	+260	+275	+321	+280	+260	+250	+310		26 
Magomed Mustafaev	-360	-395	-395	-400	-351	-340	-375	-369	-400	-360	-360	-375		26 
Court McGee	-165	-175	-175	-170	-162	-175	-170	-158	-185	-165	-170	-160		26 
Marcio Alexandre Jr.	+145	+150	+150	+140	+148	+145	+140	+143	+145	+145	+130	+140		26 
John Makdessi	-170	-170	-170	-185	-167	-165	-175	-171	-175	-165	-170	-175		26 
Yancy Medeiros	+150	+145	+145	+150	+153	+135	+145	+154	+135	+145	+130	+150		26 
