	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Carlos Condit	-350	-340	-340	-335	-341	-340	-350	-325	-385	-350	-350	-325		31 
Thiago Alves	+290	+280	+280	+255	+299	+260	+250	+285	+290	+250	+245	+275		31 
Charles COliveira	-265	-285	-260	-270	-259	-255	-260	-253	-335	-260	-300	-255		21 
Nik Lentz	+225	+235	+215	+210	+231	+205	+200	+225	+240	+220	+215	+215		21 
Alex AOliveira	-185	-166	-166	-185	-181	-160	-190	-178	-150	-155	-160	-170		21 
K.J. Noons	+160	+141	+141	+150	+164	+130	+155	+160	+120	+135	+125	+145		21 
Francimar Barroso	+235	+246	+246	+225	+241	+212	+220	+235	+240	+220	+215	+235		21 
Ryan Jimmo	-275	-296	-296	-285	-269	-270	-300	-265	-335	-300	-300	-275		21 
Francisco Trinaldo	+215	+210	+210	+195	+221	+185	+200	+210	+210	+210	+185	+210		21 
Norman Parke	-255	-255	-255	-250	-249	-230	-260	-235	-290	-250	-260	-250		21 
Darren Till	+110	+117	+117	+120	+113	-105	+105	+118	-105	-105	-105	+110		21 
Wendell WOliveira	-130	-137	-137	-150	-127	-125	-135	-130	-125	-115	-125	-130		21 
Damon Jackson	+130	+125	+135	+120	+133	+145	+120	+135	+135	+135	+125	+125		21 
Rony Jason	-150	-145	-155	-150	-147	-175	-150	-149	-175	-155	-160	-145		21 
Jussier Formiga	-105	-110	-110	-110	-102	-125	-110	-105	-135	-120	-120	-105		21 
Wilson Reis	-115	-110	-110	-120	-112	-105	-120	-105	+105	+100	-110	-115		21 
Elizeu Zaleski	+230	+240	+240	+225	+236	+260	+210	+235	+300	+220	+260	+235		21 
Nicolas Dalby	-270	-290	-290	-285	-264	-340	-280	-265	-435	-300	-380	-275		21 
Lucas Martins	+345	+350	+350	+325	+358	+325	+325	+365	+375	+400	+325	+375		21 
Mirsad Bektic	-430	-435	-435	-450	-417	-450	-450	-425	-560	-500	-500	-475		21 
Ericka Almeida	+150	+145	+143	+145	+153	+160	+150	+160	+185	+175	+170	+150		21 
Juliana Lima	-170	-170	-168	-175	-167	-195	-180	-178	-250	-210	-240	-175		21 
Luiz Dutra	+135	+141	+130	+140	+138	+140	+140	+140	+145	+155	+135	+135		21 
Tom Breese	-155	-165	-150	-170	-152	-170	-170	-155	-185	-175	-180	-155		21 
