	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Jake Ellenberger	+205	+205	+205	+195	+211	+197	+190	+190	+185	+210	+160	+205		31 
Stephen Thompson	-245	-245	-245	-250	-239	-245	-240	-212	-250	-250	-220	-240		31 
Hayder Hassan	+200	+185	+185	+185	+206	+185	+180	+201	+190	+200	+160	+190		21 
Kamaru Usman	-240	-220	-220	-235	-234	-230	-230	-225	-260	-240	-220	-225		21 
Mike Graves	+160	+155	+155	+155	+164	+150	+155	+164	+155	+165	+150	+165		21 
Vicente Luque	-185	-180	-180	-190	-181	-185	-190	-182	-195	-190	-200	-190		21 
Cezar Ferreira	+170	+170	+170	+160	+174	+220	+155	+170	+205	+160	+150	+169		21 
Jorge Masvidal	-200	-200	-200	-200	-196	-285	-190	-189	-280	-185	-200	-194		21 
Angela Magana	+650	+650	+650	+575	+702	+475	+600	+650	+600	+650	+415	+600		21 
Michelle Waterson	-1000	-950	-950	-950	-948	-700	-1000	-950	-1000	-1000	-700	-900		21 
Maximo Blanco	+155	+145	+145	+150	+158	+130	+145	+155	-105	+155	+102	+155		22 
Mike Torre	-175	-170	-170	-185	-172	-160	-175	-172	-125	-175	-135	-180		22 
Caio Magalhaes	-120	-120	-120	-120	-117	-135	-120	-110	-125	-115	-135	-118		21 
Josh Samman	+100	+100	+100	-110	+103	+105	-110	+100	-105	-105	+105	-102		21 
Jerrod Sanders	+375	+380	+380	+350	+389	+300	+350	+385	+370	+375	+270	+375		21 
Russell Doane	-470	-475	-475	-500	-456	-400	-500	-450	-550	-470	-400	-475		21 
Dan Miller	-105	-105	-105	-105	-102	-105	-110	+109	-140	-105	-130	-105		22 
Trevor Smith	-115	-115	-115	-125	-112	-125	-120	-120	+110	-115	+100	-115		22 
Dominic Waters	+210	+210	+210	+200	+216	+180	+200	+216		+190	+160	+205		21 
George Sullivan	-250	-250	-250	-260	-244	-225	-260	-242		-230	-220	-240		21 
Darrell Montague	+115	-124	-110	-110	+118	-120	-120	+113	-135	-120	-125	-120		21 
Willie Gates	-135	+104	-110	-120	-132	-110	-110	-125	+105	+100	-105	+100		21 
