	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Cain Velasquez	-460	-700	-520	-500	-446	-550	-450	-443	-450	-450	-500	-470		35 
Fabricio Werdum	+365	+450	+400	+350	+379	+400	+325	+379	+310	+360	+325	+370		35 
Eddie Alvarez	+150	+131	+131	+130	+153	+147	+120	+146	+140	+145	+115	+135		25 
Gilbert Melendez	-170	-156	-156	-160	-167	-180	-150	-162	-180	-165	-150	-155		25 
Kelvin Gastelum	-500	-550	-540	-500	-485	-450	-500	-428	-525	-525	-500	-460		25 
Nate Marquardt	+400	+430	+394	+350	+415	+325	+350	+368	+350	+415	+325	+360		25 
Charles Rosa	-175	-185	-185	-210	-172	-235	-190	-166	-235	-200	-220	-180		25 
Yair Rodriguez	+155	+160	+155	+170	+158	+190	+155	+150	+175	+170	+160	+155		25 
Angela Hill	+195	+206	+206	+205	+201	+250	+175	+187	+200	+195	+210	+215		25 
Tecia Torres	-235	-250	-250	-265	-229	-330	-220	-209	-275	-235	-290	-255		25 
Chico Camus	+825	+900	+800	+700	+892	+700	+700	+716	+650	+825	+610	+775		25 
Henry Cejudo	-1275	-1400	-1400	-1200	-1208	-1200	-1400	-919	-1100	-1275	-1300	-1200		25 
Drew Dober	-140	-142	-142	-135	-137	-125	-135	-139	-160	-140	-145	-135		25 
Efrain Escudero	+120	+120	+120	+105	+123	-105	+105	+126	+125	+120	+110	+115		25 
Alejandro Perez	-160	-165	-165	-170	-162	-145	-170	-164	-180	-165	-180	-170		25 
Patrick Williams	+150	+140	+140	+140	+148	+115	+140	+148	+140	+145	+135	+145		25 
Francisco Trevino	+415	+400	+391	+350	+431	+325	+350	+380	+330	+400	+325	+370		25 
Johnny Case	-525	-500	-502	-500	-509	-450	-500	-444	-490	-500	-500	-470		25 
Augusto Montano	-110	-110	-110	-115	-107	-125	-120	-120	-115	-105	-110	-105		25 
Cathal Pendred	-110	-110	-110	-115	-107	-105	-110	+109	-115	-115	-120	-115		25 
Clay Collard	-255	-250	-250	-250	-249	-250	-260	-244	-275	-255	-260	-245		25 
Gabriel Benitez	+215	+210	+210	+195	+221	+200	+200	+217	+200	+215	+185	+210		25 
