	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Louis Smolka	-185	-185	-175	-190	-181	-165	-175	-178	-130	-130	-165	-175		22 
Paddy Holohan	+160	+160	+150	+155	+164	+135	+145	+160	+100	+110	+125	+150		22 
Norman Parke	-240	-220	-220	-260	-234	-210	-260	-241	-240	-220	-220	-220		22 
Reza Madadi	+200	+185	+185	+200	+206	+170	+200	+215	+180	+185	+160	+185		22 
Darren Till	-145	-136	-136	-155	-142	-125	-135	-145	-130	-120	-130	-144		22 
Nicolas Dalby	+125	+116	+116	+125	+128	-105	+105	+131	+100	+100	+100	+124		22 
Mickael Lebout	+425	+415	+400	+400	+444	+425	+375	+425	+425	+375	+350	+475		22 
Stevie Ray	-550	-550	-500	-600	-531	-600	-550	-502	-650	-500	-550	-650		22 
Jon Reyes	+110	-105	-105	+105	+113	+105	+100	+118	-115	-105	-110	+105		22 
Neil Seery	-130	-115	-115	-135	-127	-135	-130	-130	-115	-115	-120	-125		22 
Krzysztof Jotko	+125	+120	+120	+125	+128	+110	+110	+130	+120	+115	+110	+129		22 
Scott Askham	-145	-140	-140	-155	-142	-140	-140	-144	-150	-135	-145	-149		22 
Aisling Daly	+100	+100	+100	-115	+103	-140	-110	-105	-115	-105	-115	-105		22 
Ericka Almeida	-120	-120	-120	-115	-117	+110	-120	-105	-115	-115	-115	-115		22 
Cathal Pendred	+240	+235	+235	+220	+246	+215	+220	+240	+235	+200	+200	+235		22 
Tom Breese	-280	-285	-285	-280	-274	-275	-300	-271	-325	-280	-275	-275		22 
Darren Elkins	-155	-150	-150	-155	-152	-155	-150	-144	-165	-140	-155	-160		22 
Robert Whiteford	+135	+130	+130	+125	+138	+125	+120	+130	+130	+120	+120	+140		22 
Bubba Bush	-330	-325	-325	-315	-321	-320	-300	-307	-360	-280	-300	-355		22 
Garreth McLellan	+270	+265	+265	+245	+279	+240	+220	+270	+250	+200	+215	+290		22 
