	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Michael Bisping	-135	-133	-143	-150	-132	-140	-140	-128	-130	-135	-140	-133		31 
Thales Leites	+115	+113	+123	+120	+118	+110	+110	+116	+100	+115	+110	+113		31 
Evan Dunham	+205	+185	+187	+195	+211	+180	+190	+200	+200	+200	+175	+205		21 
Ross Pearson	-245	-220	-221	-250	-239	-225	-240	-224	-275	-240	-240	-240		21 
Ivan Jorge	+650	+625	+665	+575	+702	+525	+600	+666	+600	+600	+525	+665		21 
Joseph Duffy	-1000	-1000	-1100	-950	-948	-800	-1000	-966	-1000	-900	-1000	-965		21 
Cortney Casey	+190	+195	+194	+180	+196	+185	+190	+205	+190	+220	+215	+190		21 
Joanne Calderwood	-230	-230	-229	-230	-224	-230	-240	-230	-260	-300	-300	-225		21 
Leon Edwards	-400	-405	-405	-450	-389	-360	-400	-374	-420	-370	-360	-400		21 
Pawel Pawlak	+325	+325	+320	+325	+336	+280	+300	+325	+290	+270	+250	+330		21 
Leonardo Mafra	+185	+183	+183	+175	+191	+167	+175	+185	+175	+170	+160	+180		21 
Stevie Ray	-225	-217	-217	-225	-219	-205	-220	-206	-235	-200	-220	-210		21 
Paddy Holohan	-145	-141	-141	-150	-142	-155	-145	-133	-190	-150	-150	-135		21 
Vaughan Lee	+125	+122	+122	+120	+128	+125	+115	+120	+150	+130	+115	+115		21 
Hans Stringer	+195	+195	+190	+190	+201	+177	+180	+190	+180	+200	+170	+190		21 
Ilir Latifi	-235	-230	-230	-240	-229	-220	-230	-212	-240	-240	-230	-225		21 
Mickael Lebout	+120	+120	+120	+115	+123	+120	+115	+127	+100	+105	+105	+120		21 
Teemu Packalen	-140	-140	-140	-145	-137	-150	-145	-140	-130	-125	-135	-140		21 
Paul Redmond	+140	+127	+127	+130	+143	+140	+125	+135	+120	+125	+115	+127		21 
Robert Whiteford	-160	-149	-149	-160	-157	-170	-155	-149	-150	-145	-150	-147		21 
Jimmie Rivera	-140	-140	-140	-150	-142	-160	-145	-139	-130	-125	-130	-141		21 
Marcus Brimage	+130	+120	+120	+120	+128	+130	+115	+126	+100	+105	+100	+121		21 
Chris De La Rocha	+120	+120	+120	+110	+118	+120	+110	+118	+125	+120	+115	+112		21 
Daniel Omielanczuk	-130	-140	-140	-140	-132	-150	-140	-130	-160	-140	-150	-132		21 
