	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Jessica Penne	+600	+500	+500	+475	+645	+575	+550	+569	+500	+550	+455	+550		31 
Joanna Jedrzejczyk	-900	-675	-675	-750	-855	-900	-900	-700	-800	-800	-800	-750		31 
Dennis Siver	-150	-180	-180	-160	-147	-165	-150	-146	-175	-150	-181	-155		21 
Tatsuya Kawajiri	+130	+155	+155	+130	+133	+135	+120	+132	+135	+130	+137	+135		21 
Peter Sobotta	-370	-255	-255	-380	-361	-425	-375	-355	-360	-355	-350	-360		21 
Steven Kennedy	+310	+210	+210	+290	+319	+315	+275	+310	+250	+295	+245	+295		21 
Lukasz Sajewski	+130	+135	+135	+125	+133	+150	+125	+131	+125	+135	+110	+135		21 
Nick Hein	-150	-160	-160	-155	-147	-185	-155	-145	-160	-155	-145	-155		21 
Makwan Amirkhani	-260	-235	-235	-270	-264	-275	-260	-255	-250	-250	-250	-260		21 
Masio Fullen	+240	+175	+185	+210	+236	+215	+200	+227	+185	+210	+180	+220		21 
Alan Patrick	+140	+135	+135	+145	+143	+130	+135	+147	+140	+140	+115	+155		21 
Mairbek Taisumov	-160	-165	-165	-175	-157	-160	-165	-163	-180	-160	-150	-180		21 
Alan Omer	-165			-175	-162	-195	-175	-165	-185	-170	-180	-175		21 
Arnold Allen	+145			+145	+148	+160	+145	+149	+145	+150	+135	+150		21 
Niklas Backstrom	-190	-220	-220	-200	-186	-190	-200	-188	-240	-200	-240	-190		21 
Noad Lahat	+165	+170	+170	+160	+169	+155	+160	+169	+180	+170	+175	+165		21 
Antonio Dos Santos Jr.	+195	+180	+185	+180	+201	+177	+180	+184	+185	+195	+180	+185		21 
Scott Askham	-235	-240	-240	-230	-229	-220	-230	-205	-250	-235	-250	-220		21 
Magomed Mustafaev	-120	-112	-112	-120	-117	-135	-125	-111	-130	-120	-120	-125		21 
Piotr Hallmann	+100	-117	-117	-110	+103	+105	-105	+101	+100	+100	-110	+105		21 
Taylor Lapilus	+240	+200	+215	+220	+246	+235	+210	+235	+205	+235	+200	+265		22 
Yuta Sasaki	-280	-280	-280	-280	-274	-300	-280	-265	-280	-275	-280	-315		22 
