	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Cub Swanson	+160	+145	+145	+150	+158	+125	+150	+158	+155	+145	+145	+150		31 
Frankie Edgar	-170	-170	-170	-185	-172	-155	-180	-175	-220	-175	-190	-175		31 
Bobby Green	+140	+127	+125	+130	+138	-115	+125	+136	-110	+125	+115	+130		21 
Edson Barboza	-150	-148	-145	-160	-152	-115	-155	-150	-126	-155	-150	-150		21 
Brad Pickett	-175	-180	-180	-190	-181	-190	-190	-180	-234	-200	-220	-180		21 
Chico Camus	+165	+155	+155	+155	+164	+155	+155	+162	+172	+160	+160	+155		21 
Jared Rosholt	-420	-375	-375	-400	-437	-390	-400	-376	-338	-450	-290	-375		21 
Oleksiy Oliynyk	+375	+305	+305	+300	+373	+295	+300	+326	+222	+360	+210	+310		21 
Dustin Ortiz	+380	+354	+354	+350	+373	+325	+325	+375	+369	+360	+300	+400		21 
Joseph Benavidez	-430	-437	-437	-500	-437	-450	-450	-437	-560	-450	-450	-515		21 
Isaac Vallie-Flagg	+165	+167	+167	+160	+164	+145	+155	+160	+173	+160	+155	+150		21 
Matt Wiman	-175	-194	-194	-200	-181	-175	-190	-178	-247	-200	-210	-175		21 
Josh Copeland	+210	+170	+170	+170	+206	+220	+175	+196	+183	+170	+155	+240		21 
Ruslan Magomedov	-230	-200	-200	-210	-234	-285	-220	-219	-268	-210	-210	-280		21 
Luke Barnatt	-420	-400	-400	-450	-427	-370	-450	-425	-495	-440	-400	-500		21 
Roger Narvaez	+375	+325	+325	+325	+363	+285	+325	+365	+298	+350	+270	+385		21 
James Vick	-280	-275	-275	-285	-283	-200	-280	-253	-235	-300	-280	-300		21 
Nick Hein	+255	+230	+230	+225	+252	+165	+210	+225	+143	+220	+200	+250		21 
Akbarh Arreola	+245	+215	+215	+210	+241	+212	+210	+241	+197	+200	+180	+280		21 
Yves Edwards	-265	-258	-258	-270	-269	-270	-280	-272	-290	-260	-250	-340		21 
Kailin Curran	-110	-105	-105	-115	-112	+120	-115	-105	+104	-115	-110	-122		21 
Paige Vanzant	+100	-115	-115	-115	-102	-150	-115	-105	-144	-115	-120	+102		21 
Dooho Choi	-420	-410	-410	-450	-427	-400	-450	-425	-551	-440	-400	-525		21 
Juan Puig	+375	+330	+330	+325	+363	+300	+325	+365	+323	+350	+270	+410		21 
