	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Anderson Silva	-355	-400	-375	-365	-361	-450	-380	-357	-556	-400	-360	-370		35 
Nick Diaz	+320	+300	+305	+275	+319	+325	+280	+311	+330	+310	+210	+305		35 
Kelvin Gastelum	+170	+185	+182	+160	+169	+165	+160	+179	+140	+180	+160	+190		26 
Tyron Woodley	-185	-220	-222	-200	-186	-200	-200	-199	-200	-220	-220	-225		26 
Al Iaquinta	-185	-195	-190	-190	-186	-220	-190	-178	-333	-200	-250	-192		25 
Joe Lauzon	+170	+165	+161	+155	+169	+177	+155	+160	+220	+160	+180	+167		25 
Thales Leites	-300	-330	-335	-325	-311	-330	-350	-295	-526	-400	-450	-310		25 
Tim Boetsch	+270	+270	+275	+250	+269	+250	+250	+260	+326	+310	+300	+260		25 
Jordan Mein	-140	-140	-140	-150	-142	-155	-140	-143	-175	-145	-145	-135		25 
Thiago Alves	+130	+120	+120	+120	+128	+125	+110	+129	+125	+115	+110	+115		25 
Miesha Tate	+165	+159	+159	+155	+164	+167	+155	+160	+156	+160	+150	+160		25 
Sara McMann	-175	-185	-185	-190	-181	-205	-190	-178	-227	-200	-200	-185		25 
Derek Brunson	-660	-683	-683	-700	-670	-650	-750	-700	-909	-750	-650	-675		25 
Ed Herman	+540	+505	+505	+450	+530	+450	+475	+500	+500	+450	+390	+500		25 
Ian McCall	-220	-215	-215	-240	-224	-280	-230	-218	-222	-230	-250	-220		25 
John Lineker	+200	+180	+180	+190	+196	+217	+180	+195	+185	+180	+180	+185		25 
Rafael Natal	-135	-130	-132	-150	-137	-130	-140	-141	-152	-140	-135	-130		25 
Tom Watson	+125	+110	+112	+120	+123	+100	+110	+128	+110	+110	+105	+110		25 
Diego Brandao	-140	-135	-135	-150	-142	-145	-145	-140	-167	-155	-160	-140		25 
Jimy Hettes	+130	+115	+115	+120	+128	+115	+115	+127	+125	+125	+125	+120		25 
Ildemar Alcantara	-155	-165	-165	-170	-157	-185	-160	-160	-200	-170	-180	-163		25 
Richardson Moreira	+145	+140	+140	+140	+143	+150	+130	+144	+145	+140	+135	+143		25 
Andy Enz	+165	+155	+155	+160	+164	+145	+155	+160	+140	+145	+140	+158		25 
Thiago Santos	-175	-180	-180	-200	-181	-175	-190	-178	-200	-175	-185	-183		25 
