	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Chris Cariaso	+1150	+1000	+1050	+800	+1132	+750	+750	+1050	+582	+800	+680	+900		35 
Demetrious Johnson	-1450	-2000	-1850	-1600	-1518	-1400	-1600	-1600	-1383	-1600	-1600	-1600		35 
Donald Cerrone	-135	-135	-145	-150	-137	-145	-145	-133	-135	-145	-155	-140		25 
Eddie Alvarez	+125	+115	+125	+120	+123	+115	+115	+120	+102	+115	+120	+120		25 
Conor McGregor	-260	-260	-260	-250	-264	-225	-280	-235	-276	-265	-300	-255		25 
Dustin Poirier	+240	+215	+215	+195	+236	+180	+210	+210	+159	+205	+215	+215		25 
Tim Kennedy	-133	-135	-135	-140	-137	-105	-130	-124	+101	-135	-140	-130		25 
Yoel Romero	+123	+115	+115	+110	+123	-125	+100	+112	-139	+105	+110	+110		25 
Amanda Nunes	+195	+190	+190	+175	+191	+185	+175	+197	+190	+180	+180	+180		25 
Cat Zingano	-215	-225	-225	-225	-219	-230	-220	-220	-280	-230	-250	-210		25 
Dominick Cruz	-560	-585	-585	-550	-578	-475	-550	-501	-667	-600	-500	-525		25 
Takeya Mizugaki	+475	+445	+425	+375	+472	+350	+375	+424	+378	+400	+325	+410		25 
James Krause	+290	+287	+287	+275	+284	+235	+275	+295	+271	+265	+270	+290		25 
Jorge Masvidal	-320	-349	-349	-365	-326	-300	-375	-337	-436	-345	-400	-355		25 
Patrick Cote	+340	+295	+295	+300	+336	+260	+300	+305	+298	+310	+270	+305		25 
Stephen Thompson	-380	-360	-360	-400	-389	-340	-400	-350	-475	-400	-400	-370		25 
Brian Ebersole	+220	+195	+195	+200	+216	+165	+200	+220	+200	+190	+200	+220		25 
John Howard	-240	-235	-235	-260	-244	-200	-260	-247	-295	-250	-275	-260		25 
Jon Tuck	+220	+210	+210	+195	+216	+180	+190	+210	+209	+195	+200	+210		25 
Kevin Lee	-240	-250	-250	-250	-244	-225	-240	-235	-309	-255	-275	-250		25 
Cody Gibson	-155	-160	-160	-170	-157	-175	-165	-160	-198	-175	-210	-160		25 
Manny Gamburyan	+145	+135	+135	+140	+143	+145	+135	+144	+142	+145	+155	+140		25 
