	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Fabricio Werdum	-430	-345	-425	-400	-437	-360	-450	-399	-385	-450	-400	-420		35 
Mark Hunt	+380	+265	+345	+300	+373	+280	+325	+345	+280	+360	+270	+350		35 
Jake Ellenberger	+145	+140	+140	+130	+143	+115	+130	+149	+135	+140	+145	+135		25 
Kelvin Gastelum	-155	-165	-165	-160	-157	-145	-160	-165	-172	-170	-190	-155		25 
Dennis Bermudez	-165	-166	-166	-175	-167	-190	-175	-166	-182	-170	-190	-175		25 
Ricardo Lamas	+155	+140	+140	+145	+153	+155	+145	+150	+135	+140	+140	+150		25 
Augusto Montano	-255	-268	-268	-270	-259	-280	-260	-270	-250	-245	-250	-275		26 
Chris Heatherly	+235	+221	+221	+210	+231	+217	+200	+239	+185	+195	+180	+235		26 
Edgar Garcia	-160	-175	-175	-185	-162	-220	-180	-156	-217	-165	-190	-180		25 
Hector Urbina	+150	+150	+150	+150	+148	+177	+150	+141	+170	+135	+140	+155		25 
Leonardo Morales	+210	+181	+181	+175	+206	+195	+175	+195	+145	+180	+155	+185		25 
Yair Rodriguez	-230	-215	-215	-225	-234	-240	-220	-218	-185	-230	-210	-220		25 
Alejandro Perez	+215	+200	+200	+200	+211	+225	+200	+205	+200	+190	+180	+210		24 
Jose Quinonez	-235	-240	-240	-260	-239	-290	-260	-230	-263	-240	-250	-250		24 
Jessica Eye	-295	-275	-275	-305	-302	-280	-300	-325	-278	-285	-275	-300		25 
Leslie Smith	+265	+230	+230	+235	+263	+217	+220	+285	+210	+215	+200	+250		25 
Gabriel Benitez	-600	-600	-598	-550	-578	-600	-550	-555	-500	-550	-500	-525		25 
Humberto Brown	+450	+460	+414	+375	+472	+425	+375	+465	+350	+350	+325	+410		25 
Guido Cannetti	+125	+125	+125	+115	+123	+105	+110	+125	+105	+110	-105	+120		25 
Henry Briones	-135	-145	-145	-145	-137	-135	-140	-138	-135	-140	-125	-140		25 
Marco Antonio Beltran	+205	+190	+190	+205	+201	+225	+210	+201	+210	+195	+200	+210		25 
Marlon Vera	-225	-225	-225	-265	-229	-290	-280	-225	-278	-245	-275	-250		25 
