	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Donald Cerrone	+150	+160	+160	+140	+153	+125	+145	+155	+155	+145	+130	+149		36 
Rafael dosAnjos	-170	-195	-195	-170	-167	-155	-175	-172	-195	-165	-175	-174		36 
Alistair Overeem	+195	+200	+210	+175	+201	+167	+180	+200	+200	+200	+215	+192		26 
Junior dosSantos	-235	-250	-265	-225	-229	-205	-230	-224	-275	-240	-300	-227		26 
Michael Johnson	-360	-385	-385	-375	-351	-310	-375	-374	-435	-360	-500	-380		26 
Nathan Diaz	+300	+315	+315	+285	+309	+237	+275	+325	+300	+260	+325	+315		26 
Karolina Kowalkiewicz	+145	+140	+140	+140	+148	+140	+140	+145	+160	+145	+150	+145		26 
Randa Markos	-165	-165	-165	-170	-162	-170	-170	-161	-210	-165	-200	-170		26 
Charles Oliveira	+145	+140	+140	+145	+148	+130	+140	+145	+140	+145	+130	+144		26 
Myles Jury	-165	-165	-165	-175	-162	-160	-170	-161	-180	-165	-170	-164		26 
C.B. Dollaway	-440	-420	-421	-450	-427	-390	-450	-393	-490	-420	-420	-455		26 
Nate Marquardt	+350	+340	+341	+325	+363	+295	+325	+340	+330	+345	+285	+355		26 
Sarah Kaufman	-115	-110	-130	-130	-112	-135	-115	-105	-160	-140	-165	-115		26 
Valentina Shevchenko	-105	-110	+110	+100	-102	+105	-115	-105	+125	+120	+125	-105		26 
Josh Samman	-220	-210	-200	-210	-214	-220	-210	-212	-235	-200	-195	-205		26 
Tamdan McCrory	+180	+168	+165	+170	+186	+177	+165	+190	+175	+170	+145	+175		26 
Danny Castillo	+120	+120	+120	+120	+123	-105	+110	+125	+100	+110	-110	+119		26 
Nik Lentz	-140	-140	-140	-150	-137	-125	-140	-138	-130	-130	-120	-139		26 
Cole Miller	-110	-110	-110	-120	-107	-120	-115	-105	-115	-120	-110	-115		27 
Jim Alers	-110	-110	-110	-110	-107	-110	-115	-105	-115	+100	-120	-105		27 
Kamaru Usman	-240	-225	-225	-300	-234	-280	-240	-253	-315	-285	-260	-225		26 
Leon Edwards	+200	+190	+190	+230	+206	+217	+190	+225	+230	+205	+185	+190		26 
Hayder Hassan	+110	+118	+118	+105	+113	+110	+105	+118	+110	+115	+110	+105		26 
Vicente Luque	-130	-138	-138	-135	-127	-140	-135	-130	-140	-135	-140	-125		26 
Francis Ngannou	-140	-140	-140	-140	-137	-155	-145	-143	-150	-120	-135	-140		26 
Luiz Henrique	+120	+120	+120	+110	+123	+125	+115	+129	+120	+100	+105	+120		26 
