	5Dimes	BetDSI	BookMaker	Bovada	SportBet	Sportsbook	BetUS	Pinnacle	SportsInt.	SBG Global	TheGreek	BetOnline	Props
Daniel Cormier	+177	+185	+170	+170	+174	+185	+160	+161	+165	+160	+145	+175		35 
Jon Jones	-192	-240	-205	-210	-196	-230	-200	-179	-200	-200	-195	-205		35 
Donald Cerrone	-125	-130	-130	-135	-127	-130	-135	-133	-130	-125	-150	-130		25 
Myles Jury	+115	+110	+110	+105	+113	+100	+105	+120	+105	-105	+115	+110		25 
Brad Tavares	-130	-130	-130	-130	-132	-135	-130	-131	-110	-125	-115	-125		25 
Nate Marquardt	+120	+110	+110	+100	+118	+105	+100	+119	-110	-105	-115	+105		25 
Kyoji Horiguchi	-525	-725	-679	-500	-531	-500	-550	-470	-625	-600	-700	-500		25 
Louis Gaudinot	+450	+455	+462	+350	+444	+375	+375	+400	+425	+400	+415	+385		25 
Hector Lombard	-840	-950	-1000	-800	-855	-800	-1000	-725	-909	-900	-900	-750		25 
Josh Burkman	+660	+575	+550	+500	+645	+550	+600	+525	+550	+600	+490	+550		25 
Danny Castillo	-255	-265	-265	-285	-259	-285	-280	-260	-244	-270	-275	-270		25 
Paul Felder	+235	+220	+220	+225	+231	+220	+210	+231	+190	+210	+200	+230		25 
Cody Garbrandt	-110	-115	-115	-115	-112	+100	-115	-105	+125	-110	+100	-115		25 
Marcus Brimage	+100	-105	-105	-115	-102	-130	-115	-105	-159	-120	-130	-105		25 
Jared Cannonier	+170	+155	+161	+160	+169	+155	+155	+169	+160	+160	+150	+165		25 
Shawn Jordan	-185	-180	-186	-200	-186	-190	-190	-188	-200	-200	-200	-190		25 
Evan Dunham	-705	-700	-700	-750	-716	-475	-750	-725	-667	-700	-600	-675		25 
Rodrigo Damm	+570	+525	+500	+475	+559	+350	+475	+525	+425	+450	+370	+500		25 
Mats Nilsson	+185	+168	+168	+160	+180	+140	+160	+175	+145	+160	+140	+169		25 
Omari Akhmedov	-200	-197	-199	-200	-205	-170	-200	-195	-185	-200	-185	-194		25 
Alexis Dufresne	-220	-210	-210	-225	-224	-240	-230	-212	-213	-210	-200	-230		25 
Marion Reneau	+200	+180	+180	+175	+196	+195	+180	+190	+165	+170	+150	+195		25 
